seguidor,idResposta,dataResposta
930840372,1021264981457887232,2018-7-23 05:25:20
117739502,1021265837683068928,2018-7-23 05:28:44
982964192440471553,1021744931621232640,2018-7-24 13:12:29
499452644,1021576175708135425,2018-7-24 02:01:54
885587220622692353,1021474118661758977,2018-7-23 19:16:22
726851059541499904,1021475114314080263,2018-7-23 19:20:19
1335391,1021529297637400577,2018-7-23 22:55:38
815566066222927872,1021531787376250880,2018-7-23 23:05:31
2739179841,1021480513553551360,2018-7-23 19:41:47
2787053270,1022198373842149376,2018-7-25 19:14:18
33659742,1022183140880773121,2018-7-25 18:13:46
1480627928,1022425379015995392,2018-7-26 10:16:20
906606619663925250,1022417382227226624,2018-7-26 09:44:34
14248346,1022568107540471810,2018-7-26 19:43:29
588017994,1022485046362423296,2018-7-26 14:13:26
588017994,1022364560735358977,2018-7-26 06:14:40
560018475,1022742456385732609,2018-7-27 07:16:17
1970143219,1023270251939606533,2018-7-28 18:13:34
2418980789,1023185301110439936,2018-7-28 12:36:00
154398130,1023195189274238976,2018-7-28 13:15:17
756076414995091456,1023156787237679104,2018-7-28 10:42:42
17582746,1023183305854910472,2018-7-28 12:28:04
3282073567,1023269947215159297,2018-7-28 18:12:21
1539801824,1023709031821537280,2018-7-29 23:17:07
4856094575,1023619687777595392,2018-7-29 17:22:06
913220867517292544,1023312377369047041,2018-7-28 21:00:57
774414282662359040,1023482576575451136,2018-7-29 08:17:16
70271427,1023542486218596353,2018-7-29 12:15:19
369038011,1023738688352735233,2018-7-30 01:14:58
2748909908,1023594946299879424,2018-7-29 15:43:47
996572619271892992,1024825411291639808,2018-8-02 01:13:13
903099546720489472,1024117350193405952,2018-7-31 02:19:38
4017494712,1024130667586584577,2018-7-31 03:12:33
2436705422,1024977228986077185,2018-8-02 11:16:29
106273711,1024799424613175297,2018-8-01 23:29:57
24602580,1024825660471013376,2018-8-02 01:14:12
168612334,1024919461713727488,2018-8-02 07:26:56
14137742,1023805601502003201,2018-7-30 05:40:51
719319498,1024026500511752192,2018-7-30 20:18:37
63303159,1024452934807904256,2018-8-01 00:33:07
28502848,1025036590438117376,2018-8-02 15:12:22
2354613906,1024989292165320705,2018-8-02 12:04:25
1008859370346696706,1025130892476465153,2018-8-02 21:27:05
168612334,1025140030669385728,2018-8-02 22:03:24
1008917607255175168,1025729057286053888,2018-8-04 13:03:59
987821697142345728,1025583947168800769,2018-8-04 03:27:22
972604981223108608,1025582398753234945,2018-8-04 03:21:12
16004177,1025450076351672321,2018-8-03 18:35:24
991056063255347200,1025593057687863296,2018-8-04 04:03:34
131918083,1025764100134109184,2018-8-04 15:23:13
360454325,1025593743418826752,2018-8-04 04:06:17
719636887812575232,1025541751224918016,2018-8-04 00:39:41
758771612346937344,1025875099218526210,2018-8-04 22:44:18
989290709122473984,1025868825642913793,2018-8-04 22:19:22
39894323,1025822586117206017,2018-8-04 19:15:38
864482872463425536,1026071175250804737,2018-8-05 11:43:26
20014516,1025897373808115712,2018-8-05 00:12:48
255325955,1026592020108734464,2018-8-06 22:13:05
