seguidor,idResposta,dataResposta
18880069,1021245028629295104,2018-7-23 04:06:03
1019997840322379776,1021096427512987648,2018-7-22 18:15:34
843708294,1021060348558929920,2018-7-22 15:52:12
709053234132848641,1021191333615194112,2018-7-23 00:32:41
358130134,1021251699099545600,2018-7-23 04:32:33
995795108,1021349649129574401,2018-7-23 11:01:46
321215675,1021267036729675776,2018-7-23 05:33:30
922940431872200705,1021071444414017536,2018-7-22 16:36:17
413907599,1021729693660196865,2018-7-24 12:11:56
1005000912115388416,1021651133947817984,2018-7-24 06:59:46
365858034,1021507548615204867,2018-7-23 21:29:12
927654807522996224,1021418215572983808,2018-7-23 15:34:14
4489344085,1021719178619879424,2018-7-24 11:30:09
3680069897,1021677929850396672,2018-7-24 08:46:14
172210195,1021889028474523649,2018-7-24 22:45:04
905568044012929024,1021875430826098688,2018-7-24 21:51:02
312684273,1021803091681796097,2018-7-24 17:03:35
626233051,1021753999563935745,2018-7-24 13:48:31
21061563,1021815668822425600,2018-7-24 17:53:34
841551683440267266,1021875923770134530,2018-7-24 21:53:00
14584795,1021826349407907842,2018-7-24 18:36:00
29076337,1022605164111384576,2018-7-26 22:10:44
3200900806,1022599667241156609,2018-7-26 21:48:54
157258249,1022600748822159366,2018-7-26 21:53:12
157258249,1022596543579226113,2018-7-26 21:36:29
137001039,1022507695356698624,2018-7-26 15:43:26
1015298724531228673,1022242536201637893,2018-7-25 22:09:47
790771128113373185,1022530981784215552,2018-7-26 17:15:58
948571325819445248,1022439961717600256,2018-7-26 11:14:17
900208431763787780,1022541145568694273,2018-7-26 17:56:21
7117212,1022594119988858880,2018-7-26 21:26:51
935520926,1022938968227295232,2018-7-27 20:17:09
948346698836750338,1022853195574509569,2018-7-27 14:36:20
4531511,1022823158112346117,2018-7-27 12:36:58
150398575,1022646702212182016,2018-7-27 00:55:48
61028017,1022929748970885120,2018-7-27 19:40:31
864177228921393153,1022916778870169601,2018-7-27 18:48:59
1939088768,1022677374079520770,2018-7-27 02:57:41
67336825,1023266836174004224,2018-7-28 17:59:59
2998496744,1023226054394109954,2018-7-28 15:17:56
19156565,1023157429561901057,2018-7-28 10:45:15
24140631,1023120705242652672,2018-7-28 08:19:19
24140631,1023120630047100928,2018-7-28 08:19:01
26192398,1023265234834808832,2018-7-28 17:53:37
