idUsuario,ataVinculacao
3692,2018-07-23 09:29:27.432351
4044,2018-07-23 09:29:27.432351
5708,2018-07-23 09:29:27.432351
10424,2018-07-23 09:29:27.432351
11415,2018-07-23 09:29:27.432351
12282,2018-07-23 09:29:27.432351
12818,2018-07-23 09:29:27.432351
28563,2018-07-23 09:29:27.432351
36563,2018-07-23 09:29:27.432351
41633,2018-07-23 09:29:27.432351
62403,2018-07-23 09:29:27.432351
66583,2018-07-23 09:29:27.432351
80703,2018-07-23 09:29:27.432351
635703,2018-07-23 09:29:27.432351
662193,2018-07-23 09:29:27.432351
699293,2018-07-23 09:29:27.432351
719373,2018-07-23 09:29:27.432351
742573,2018-07-23 09:29:27.432351
755155,2018-07-23 09:29:27.432351
765694,2018-07-23 09:29:27.432351
766658,2018-07-23 09:29:27.432351
775407,2018-07-23 09:29:27.432351
794547,2018-07-23 09:29:27.432351
802556,2018-07-23 09:29:27.432351
814543,2018-07-23 09:29:27.432351
818340,2018-07-23 09:29:27.432351
818865,2018-07-23 09:29:27.432351
821020,2018-07-23 09:29:27.432351
891791,2018-07-23 09:29:27.432351
1138431,2018-07-23 09:29:27.432351
1295571,2018-07-23 09:29:27.432351
1349291,2018-07-23 09:29:27.432351
1397801,2018-07-23 09:29:27.432351
1428731,2018-07-23 09:29:27.432351
1511801,2018-07-23 09:29:27.432351
1546251,2018-07-23 09:29:27.432351
1549641,2018-07-23 09:29:27.432351
1563031,2018-07-23 09:29:27.432351
1870481,2018-07-23 09:29:27.432351
2018441,2018-07-23 09:29:27.432351
2093881,2018-07-23 09:29:27.432351
2108171,2018-07-23 09:29:27.432351
2304871,2018-07-23 09:29:27.432351
2626421,2018-07-23 09:29:27.432351
2910971,2018-07-23 09:29:27.432351
3085131,2018-07-23 09:29:27.432351
3164001,2018-07-23 09:29:27.432351
3604141,2018-07-23 09:29:27.432351
3630011,2018-07-23 09:29:27.432351
3662301,2018-07-23 09:29:27.432351
3832791,2018-07-23 09:29:27.432351
3927591,2018-07-23 09:29:27.432351
3956151,2018-07-23 09:29:27.432351
4047231,2018-07-23 09:29:27.432351
4047661,2018-07-23 09:29:27.432351
4095991,2018-07-23 09:29:27.432351
4143271,2018-07-23 09:29:27.432351
4156071,2018-07-23 09:29:27.432351
4765691,2018-07-23 09:29:27.432351
4780631,2018-07-23 09:29:27.432351
5117331,2018-07-23 09:29:27.432351
5127201,2018-07-23 09:29:27.432351
5287272,2018-07-23 09:29:27.432351
5299452,2018-07-23 09:29:27.432351
5407182,2018-07-23 09:29:27.432351
5442642,2018-07-23 09:29:27.432351
5474872,2018-07-23 09:29:27.432351
5479282,2018-07-23 09:29:27.432351
5501422,2018-07-23 09:29:27.432351
5525152,2018-07-23 09:29:27.432351
5539892,2018-07-23 09:29:27.432351
5568962,2018-07-23 09:29:27.432351
5634392,2018-07-23 09:29:27.432351
5639832,2018-07-23 09:29:27.432351
5640632,2018-07-23 09:29:27.432351
5644142,2018-07-23 09:29:27.432351
5651192,2018-07-23 09:29:27.432351
5673292,2018-07-23 09:29:27.432351
5749642,2018-07-23 09:29:27.432351
5839312,2018-07-23 09:29:27.432351
5849252,2018-07-23 09:29:27.432351
5875352,2018-07-23 09:29:27.432351
5875682,2018-07-23 09:29:27.432351
5884922,2018-07-23 09:29:27.432351
5904062,2018-07-23 09:29:27.432351
5937172,2018-07-23 09:29:27.432351
5939912,2018-07-23 09:29:27.432351
6014122,2018-07-23 09:29:27.432351
6034822,2018-07-23 09:29:27.432351
6063082,2018-07-23 09:29:27.432351
6088322,2018-07-23 09:29:27.432351
6090062,2018-07-23 09:29:27.432351
6158732,2018-07-23 09:29:27.432351
6296892,2018-07-23 09:29:27.432351
6296982,2018-07-23 09:29:27.432351
6335842,2018-07-23 09:29:27.432351
6368162,2018-07-23 09:29:27.432351
6424562,2018-07-23 09:29:27.432351
6443392,2018-07-23 09:29:27.432351
6463042,2018-07-23 09:29:27.432351
6548902,2018-07-23 09:29:27.432351
6581062,2018-07-23 09:29:27.432351
6611772,2018-07-23 09:29:27.432351
6613262,2018-07-23 09:29:27.432351
6680462,2018-07-23 09:29:27.432351
6804882,2018-07-23 09:29:27.432351
6837002,2018-07-23 09:29:27.432351
6839512,2018-07-23 09:29:27.432351
6947892,2018-07-23 09:29:27.432351
7000892,2018-07-23 09:29:27.432351
7009202,2018-07-23 09:29:27.432351
7017662,2018-07-23 09:29:27.432351
7022662,2018-07-23 09:29:27.432351
7044322,2018-07-23 09:29:27.432351
7047022,2018-07-23 09:29:27.432351
7067852,2018-07-23 09:29:27.432351
7117212,2018-07-23 09:29:27.432351
7129382,2018-07-23 09:29:27.432351
7242102,2018-07-23 09:29:27.432351
7295572,2018-07-23 09:29:27.432351
7371432,2018-07-23 09:29:27.432351
7385462,2018-07-23 09:29:27.432351
7429842,2018-07-23 09:29:27.432351
7465102,2018-07-23 09:29:27.432351
7646772,2018-07-23 09:29:27.432351
7722352,2018-07-23 09:29:27.432351
7778092,2018-07-23 09:29:27.432351
7860902,2018-07-23 09:29:27.432351
7895552,2018-07-23 09:29:27.432351
7970962,2018-07-23 09:29:27.432351
8065602,2018-07-23 09:29:27.432351
8153042,2018-07-23 09:29:27.432351
8249862,2018-07-23 09:29:27.432351
8252602,2018-07-23 09:29:27.432351
8274582,2018-07-23 09:29:27.432351
8328182,2018-07-23 09:29:27.432351
8367002,2018-07-23 09:29:27.432351
8406952,2018-07-23 09:29:27.432351
8441832,2018-07-23 09:29:27.432351
8565232,2018-07-23 09:29:27.432351
8592732,2018-07-23 09:29:27.432351
8596022,2018-07-23 09:29:27.432351
8614572,2018-07-23 09:29:27.432351
8678132,2018-07-23 09:29:27.432351
8708022,2018-07-23 09:29:27.432351
8730462,2018-07-23 09:29:27.432351
8805972,2018-07-23 09:29:27.432351
