idUsuario,dataDesvinculacao
23593055,2018-07-24 11:16:41.463909
148140629,2018-07-24 11:16:41.463909
2878983817,2018-07-24 11:16:41.463909
3239048116,2018-07-24 11:16:41.463909
953154499526516736,2018-07-24 11:16:41.463909
29286984,2018-07-25 21:33:09.363458
42955171,2018-07-25 21:33:09.363458
46476526,2018-07-25 21:33:09.363458
62564803,2018-07-25 21:33:09.363458
179105404,2018-07-25 21:33:09.363458
190727736,2018-07-25 21:33:09.363458
400100309,2018-07-25 21:33:09.363458
1068266768,2018-07-25 21:33:09.363458
15429713,2018-07-26 21:48:16.427499
53590660,2018-07-26 21:48:16.427499
154212355,2018-07-26 21:48:16.427499
368275266,2018-07-26 21:48:16.427499
410981295,2018-07-26 21:48:16.427499
726586808,2018-07-26 21:48:16.427499
2822131071,2018-07-26 21:48:16.427499
1015656334832922627,2018-07-26 21:48:16.427499
19889981,2018-07-27 21:48:17.906308
35933055,2018-07-27 21:48:17.906308
45955056,2018-07-27 21:48:17.906308
226073772,2018-07-27 21:48:17.906308
285242936,2018-07-27 21:48:17.906308
1198717231,2018-07-27 21:48:17.906308
2212994324,2018-07-27 21:48:17.906308
718263569683456001,2018-07-27 21:48:17.906308
983076616170541056,2018-07-27 21:48:17.906308
14885102,2018-07-28 21:48:18.126248
48478327,2018-07-28 21:48:18.126248
323836392,2018-07-28 21:48:18.126248
537508831,2018-07-28 21:48:18.126248
1189189363,2018-07-28 21:48:18.126248
2411724187,2018-07-28 21:48:18.126248
3485636183,2018-07-28 21:48:18.126248
959888692616802304,2018-07-28 21:48:18.126248
27264306,2018-07-29 21:48:17.126720
148043601,2018-07-29 21:48:17.126720
372540991,2018-07-29 21:48:17.126720
773920296,2018-07-29 21:48:17.126720
852202736,2018-07-29 21:48:17.126720
2234457590,2018-07-29 21:48:17.126720
2796380049,2018-07-29 21:48:17.126720
3170778564,2018-07-29 21:48:17.126720
936851321721724933,2018-07-29 21:48:17.126720
16593932,2018-07-30 21:48:18.645597
20561097,2018-07-30 21:48:18.645597
136817658,2018-07-30 21:48:18.645597
360966698,2018-07-30 21:48:18.645597
602326913,2018-07-30 21:48:18.645597
874101678,2018-07-30 21:48:18.645597
1328241824,2018-07-30 21:48:18.645597
2696411389,2018-07-30 21:48:18.645597
714175350742224900,2018-07-30 21:48:18.645597
15692726,2018-08-02 10:45:50.332754
17196810,2018-08-02 10:45:50.332754
22985033,2018-08-02 10:45:50.332754
23369915,2018-08-02 10:45:50.332754
59183396,2018-08-02 10:45:50.332754
113799834,2018-08-02 10:45:50.332754
314229854,2018-08-02 10:45:50.332754
616386649,2018-08-02 10:45:50.332754
913354098,2018-08-02 10:45:50.332754
919860212,2018-08-02 10:45:50.332754
2188218095,2018-08-02 10:45:50.332754
3167083190,2018-08-02 10:45:50.332754
4129264272,2018-08-02 10:45:50.332754
954078681600675840,2018-08-02 10:45:50.332754
1101632707,2018-08-03 10:46:15.991482
2305769010,2018-08-03 10:46:15.991482
3350290948,2018-08-03 10:46:15.991482
4223686467,2018-08-03 10:46:15.991482
4260100305,2018-08-03 10:46:15.991482
946426313824333825,2018-08-03 10:46:15.991482
14423359,2018-08-04 10:46:14.579844
14881728,2018-08-04 10:46:14.579844
15765476,2018-08-04 10:46:14.579844
61703528,2018-08-04 10:46:14.579844
221239824,2018-08-04 10:46:14.579844
1113517634,2018-08-04 10:46:14.579844
703717709427642369,2018-08-04 10:46:14.579844
799804392308404224,2018-08-04 10:46:14.579844
808267722077470720,2018-08-04 10:46:14.579844
938109057969328129,2018-08-04 10:46:14.579844
14498171,2018-08-05 10:46:13.130446
191487908,2018-08-05 10:46:13.130446
463357853,2018-08-05 10:46:13.130446
717712108457238528,2018-08-05 10:46:13.130446
72655206,2018-08-06 10:46:16.717738
519128081,2018-08-06 10:46:16.717738
1465629732,2018-08-06 10:46:16.717738
4354882701,2018-08-06 10:46:16.717738
7676512,2018-08-07 10:46:16.220099
49340925,2018-08-07 10:46:16.220099
63296541,2018-08-07 10:46:16.220099
102368000,2018-08-07 10:46:16.220099
1453250071,2018-08-07 10:46:16.220099
2831190271,2018-08-07 10:46:16.220099
896320950324559872,2018-08-07 10:46:16.220099
14124673,2018-08-08 10:46:15.403589
17828802,2018-08-08 10:46:15.403589
20940194,2018-08-08 10:46:15.403589
21837551,2018-08-08 10:46:15.403589
110528502,2018-08-08 10:46:15.403589
385692499,2018-08-08 10:46:15.403589
493691089,2018-08-08 10:46:15.403589
1187454997,2018-08-08 10:46:15.403589
931850161130700800,2018-08-08 10:46:15.403589
16131833,2018-08-09 10:46:14.255636
16346637,2018-08-09 10:46:14.255636
18522839,2018-08-09 10:46:14.255636
39038706,2018-08-09 10:46:14.255636
229573230,2018-08-09 10:46:14.255636
279715845,2018-08-09 10:46:14.255636
315877586,2018-08-09 10:46:14.255636
3600855674,2018-08-09 10:46:14.255636
4635492640,2018-08-09 10:46:14.255636
28609840,2018-08-10 10:46:14.026477
38735749,2018-08-10 10:46:14.026477
121213459,2018-08-10 10:46:14.026477
307659588,2018-08-10 10:46:14.026477
344982760,2018-08-10 10:46:14.026477
3091355613,2018-08-10 10:46:14.026477
25675880,2018-08-11 10:46:16.802865
288410435,2018-08-11 10:46:16.802865
39997863,2018-08-12 10:46:15.768462
80881866,2018-08-12 10:46:15.768462
92716732,2018-08-12 10:46:15.768462
224053057,2018-08-12 10:46:15.768462
498462420,2018-08-12 10:46:15.768462
632019319,2018-08-12 10:46:15.768462
3244354005,2018-08-12 10:46:15.768462
3315495672,2018-08-12 10:46:15.768462
749980713676570624,2018-08-12 10:46:15.768462
979517727210532864,2018-08-12 10:46:15.768462
234666305,2018-08-13 10:46:21.262582
326598877,2018-08-13 10:46:21.262582
1225555754,2018-08-13 10:46:21.262582
2678099802,2018-08-13 10:46:21.262582
5503512,2018-08-14 10:46:25.189191
18249197,2018-08-14 10:46:25.189191
18786155,2018-08-14 10:46:25.189191
27736629,2018-08-14 10:46:25.189191
42959251,2018-08-14 10:46:25.189191
43194391,2018-08-14 10:46:25.189191
413477371,2018-08-14 10:46:25.189191
1874227969,2018-08-14 10:46:25.189191
796895774449733634,2018-08-14 10:46:25.189191
14019792,2018-08-15 10:46:16.307354
14951700,2018-08-15 10:46:16.307354
15987942,2018-08-15 10:46:16.307354
253272274,2018-08-15 10:46:16.307354
740971822666121217,2018-08-15 10:46:16.307354
893583933467643904,2018-08-15 10:46:16.307354
16754025,2018-08-16 10:46:15.770445
20174889,2018-08-16 10:46:15.770445
23158173,2018-08-16 10:46:15.770445
25120266,2018-08-16 10:46:15.770445
26130044,2018-08-16 10:46:15.770445
71798066,2018-08-16 10:46:15.770445
98250980,2018-08-16 10:46:15.770445
117725111,2018-08-16 10:46:15.770445
133381606,2018-08-16 10:46:15.770445
158275941,2018-08-16 10:46:15.770445
168741606,2018-08-16 10:46:15.770445
199930393,2018-08-16 10:46:15.770445
273555628,2018-08-16 10:46:15.770445
346983548,2018-08-16 10:46:15.770445
478261474,2018-08-16 10:46:15.770445
1083229134,2018-08-16 10:46:15.770445
1548333494,2018-08-16 10:46:15.770445
2314813386,2018-08-16 10:46:15.770445
2728340596,2018-08-16 10:46:15.770445
3275052482,2018-08-16 10:46:15.770445
3346694944,2018-08-16 10:46:15.770445
3365916359,2018-08-16 10:46:15.770445
4928035462,2018-08-16 10:46:15.770445
703536636693327873,2018-08-16 10:46:15.770445
963950582091444224,2018-08-16 10:46:15.770445
690083,2018-08-17 10:46:15.628913
11017262,2018-08-17 10:46:15.628913
14355832,2018-08-17 10:46:15.628913
22384877,2018-08-17 10:46:15.628913
170441285,2018-08-17 10:46:15.628913
173919715,2018-08-17 10:46:15.628913
285401666,2018-08-17 10:46:15.628913
565953151,2018-08-17 10:46:15.628913
575795289,2018-08-17 10:46:15.628913
1138233751,2018-08-17 10:46:15.628913
1868217547,2018-08-17 10:46:15.628913
7905972,2018-08-18 10:48:58.205992
14863226,2018-08-18 10:48:58.205992
15696008,2018-08-18 10:48:58.205992
43941683,2018-08-18 10:48:58.205992
59969976,2018-08-18 10:48:58.205992
305886100,2018-08-18 10:48:58.205992
443298423,2018-08-18 10:48:58.205992
468428923,2018-08-18 10:48:58.205992
2593076972,2018-08-18 10:48:58.205992
4429071379,2018-08-18 10:48:58.205992
16240030,2018-08-19 15:25:45.008864
21123704,2018-08-19 15:25:45.008864
127402498,2018-08-19 15:25:45.008864
288143503,2018-08-19 15:25:45.008864
724586713,2018-08-19 15:25:45.008864
2786133806,2018-08-19 15:25:45.008864
3173755872,2018-08-19 15:25:45.008864
890342259278983168,2018-08-19 15:25:45.008864
20832199,2018-08-20 15:25:54.291450
88244786,2018-08-20 15:25:54.291450
121881900,2018-08-20 15:25:54.291450
134234033,2018-08-20 15:25:54.291450
262396088,2018-08-20 15:25:54.291450
1009191343,2018-08-20 15:25:54.291450
798542,2018-08-21 15:25:51.393067
242103609,2018-08-21 15:25:51.393067
847312908694339584,2018-08-21 15:25:51.393067
39600453,2018-08-22 15:25:53.641679
160426845,2018-08-22 15:25:53.641679
3548164049,2018-08-22 15:25:53.641679
20012815,2018-08-23 15:25:49.500990
25319934,2018-08-23 15:25:49.500990
237819619,2018-08-23 15:25:49.500990
2934537289,2018-08-23 15:25:49.500990
995426928688599040,2018-08-23 15:25:49.500990
8533632,2018-08-24 19:29:41.338224
78417631,2018-08-24 19:29:41.338224
158139415,2018-08-24 19:29:41.338224
184128260,2018-08-24 19:29:41.338224
246559517,2018-08-24 19:29:41.338224
412748540,2018-08-24 19:29:41.338224
878803859174547456,2018-08-24 19:29:41.338224
47161303,2018-08-25 19:29:43.867670
523495112,2018-08-25 19:29:43.867670
637284025,2018-08-25 19:29:43.867670
129586119,2018-08-26 19:29:46.288366
222511870,2018-08-26 19:29:46.288366
287611868,2018-08-26 19:29:46.288366
820940430,2018-08-26 19:29:46.288366
2497109599,2018-08-26 19:29:46.288366
999923678761566208,2018-08-26 19:29:46.288366
15391604,2018-08-27 19:29:44.413161
2802528370,2018-08-27 19:29:44.413161
6213912,2018-08-30 00:17:50.520058
15399352,2018-08-30 00:17:50.520058
22703536,2018-08-30 00:17:50.520058
27570984,2018-08-30 00:17:50.520058
36807096,2018-08-30 00:17:50.520058
64261467,2018-08-30 00:17:50.520058
107471559,2018-08-30 00:17:50.520058
169233746,2018-08-30 00:17:50.520058
952669681,2018-08-30 00:17:50.520058
989520062,2018-08-30 00:17:50.520058
2275536942,2018-08-30 00:17:50.520058
3861573193,2018-08-30 00:17:50.520058
798180826546507776,2018-08-30 00:17:50.520058
821203276913901568,2018-08-30 00:17:50.520058
843740735715328000,2018-08-30 00:17:50.520058
981599752247799808,2018-08-30 00:17:50.520058
16842103,2018-08-31 00:17:47.395927
35478190,2018-08-31 00:17:47.395927
64109175,2018-08-31 00:17:47.395927
398850079,2018-08-31 00:17:47.395927
13319112,2018-09-01 09:16:33.487731
79603958,2018-09-01 09:16:33.487731
88717547,2018-09-01 09:16:33.487731
296077700,2018-09-01 09:16:33.487731
3003520289,2018-09-01 09:16:33.487731
43059184,2018-09-02 09:16:32.608773
57339767,2018-09-02 09:16:32.608773
783670160217501696,2018-09-02 09:16:32.608773
1010005462811533312,2018-09-02 09:16:32.608773
576250212,2018-09-03 09:16:33.226639
1671833882,2018-09-03 09:16:33.226639
3406397511,2018-09-03 09:16:33.226639
783749169399762944,2018-09-03 09:16:33.226639
888230329353416705,2018-09-03 09:16:33.226639
15602896,2018-09-04 09:16:33.278537
106549716,2018-09-04 09:16:33.278537
