seguidor,idResposta,dataMencao
461030007,1021580397216317440,2018-7-24 02:18:41
2507745024,1023200875450392576,2018-7-28 13:37:53
583879671,1023160127774490624,2018-7-28 10:55:58
1059426847,1023408335796744192,2018-7-29 03:22:15
621203498,1024899837479870464,2018-8-02 06:08:57
908731941977038848,1025123896113201152,2018-8-02 20:59:17
1157683158,1027829610409422848,2018-8-10 08:10:49
957753901599674368,1028839570350190592,2018-8-13 03:04:03
1029108511794454528,1029138254061346818,2018-8-13 22:50:54
1019897719555411969,1029465459433697280,2018-8-14 20:31:06
537806160,1030104278084464640,2018-8-16 14:49:32
617116714,1030290427201642496,2018-8-17 03:09:14
2538351691,1031164270610980866,2018-8-19 13:01:34
902831028477116416,1033388082421059587,2018-8-25 16:18:12
4343375776,1035669062003707904,2018-8-31 23:22:00
814672063839473664,1036042925556334592,2018-9-02 00:07:36
3089776408,1036977771447242752,2018-9-04 14:02:21
92799375,1037671177462800384,2018-9-06 11:57:42
2810828627,1037492070343208960,2018-9-06 00:05:59
