seguidor,idResposta,dataMencao
243052518,1021086298465947648,2018-7-22 17:35:19
401585732,1021099841705914369,2018-7-22 18:29:08
1012174191725088770,1021482518518870017,2018-7-23 19:49:45
807038101163888640,1021868728630136832,2018-7-24 21:24:24
975203963912929280,1021969369574895617,2018-7-25 04:04:19
1368344490,1023589204293496834,2018-7-29 15:20:58
131544549,1025435960652312576,2018-8-03 17:39:19
1186027014,1026459705256894464,2018-8-06 13:27:19
50562142,1027085399750074368,2018-8-08 06:53:36
428480182,1027231048017629185,2018-8-08 16:32:21
176721076,1027940653890772993,2018-8-10 15:32:04
948443444388691968,1030135724522315776,2018-8-16 16:54:30
389754297,1030791118978465793,2018-8-18 12:18:48
780038561525628928,1031150467466838016,2018-8-19 12:06:43
19902727,1031096576285057024,2018-8-19 08:32:35
378947836,1031023021518147584,2018-8-19 03:40:18
768365578167783424,1031438574250418176,2018-8-20 07:11:33
98952822,1031413635237728256,2018-8-20 05:32:28
827517774528262145,1032167612048797701,2018-8-22 07:28:30
25737226,1033412857973469184,2018-8-25 17:56:39
1021286876584529920,1036202457209217024,2018-9-02 10:41:32
2564387746,1036457531105845248,2018-9-03 03:35:06
2497052026,1037229504958275585,2018-9-05 06:42:39
772911449199022086,1037164427727003649,2018-9-05 02:24:03
2808963894,1037164192527249409,2018-9-05 02:23:07
2560395426,1037143625656922112,2018-9-05 01:01:24
2574644291,1037123415642128384,2018-9-04 23:41:05
815305421225271296,1037078091397455872,2018-9-04 20:40:59
770626056378322944,1037042726750040069,2018-9-04 18:20:28
1022521148028989440,1037036499752108034,2018-9-04 17:55:43
2212469704,1037030312252002305,2018-9-04 17:31:08
929400927743823872,1037034053051015168,2018-9-04 17:46:00
