idUsuario,ataVinculacao
47,2018-07-23 14:03:10.790291
246,2018-07-23 14:03:10.790291
257,2018-07-23 14:03:10.790291
714,2018-07-23 14:03:10.790291
913,2018-07-23 14:03:10.790291
2185,2018-07-23 14:03:10.790291
2705,2018-07-23 14:03:10.790291
4678,2018-07-23 14:03:10.790291
5128,2018-07-23 14:03:10.790291
5263,2018-07-23 14:03:10.790291
5949,2018-07-23 14:03:10.790291
9008,2018-07-23 14:03:10.790291
9027,2018-07-23 14:03:10.790291
9361,2018-07-23 14:03:10.790291
10963,2018-07-23 14:03:10.790291
12842,2018-07-23 14:03:10.790291
12912,2018-07-23 14:03:10.790291
12915,2018-07-23 14:03:10.790291
13124,2018-07-23 14:03:10.790291
13148,2018-07-23 14:03:10.790291
13687,2018-07-23 14:03:10.790291
14113,2018-07-23 14:03:10.790291
15313,2018-07-23 14:03:10.790291
26853,2018-07-23 14:03:10.790291
29843,2018-07-23 14:03:10.790291
34283,2018-07-23 14:03:10.790291
40023,2018-07-23 14:03:10.790291
45993,2018-07-23 14:03:10.790291
49093,2018-07-23 14:03:10.790291
51303,2018-07-23 14:03:10.790291
51903,2018-07-23 14:03:10.790291
54793,2018-07-23 14:03:10.790291
55973,2018-07-23 14:03:10.790291
60173,2018-07-23 14:03:10.790291
66743,2018-07-23 14:03:10.790291
78493,2018-07-23 14:03:10.790291
89903,2018-07-23 14:03:10.790291
208163,2018-07-23 14:03:10.790291
351303,2018-07-23 14:03:10.790291
497013,2018-07-23 14:03:10.790291
606543,2018-07-23 14:03:10.790291
608723,2018-07-23 14:03:10.790291
616523,2018-07-23 14:03:10.790291
621503,2018-07-23 14:03:10.790291
625203,2018-07-23 14:03:10.790291
635703,2018-07-23 14:03:10.790291
636563,2018-07-23 14:03:10.790291
637313,2018-07-23 14:03:10.790291
653103,2018-07-23 14:03:10.790291
655983,2018-07-23 14:03:10.790291
658353,2018-07-23 14:03:10.790291
659333,2018-07-23 14:03:10.790291
665763,2018-07-23 14:03:10.790291
677353,2018-07-23 14:03:10.790291
680683,2018-07-23 14:03:10.790291
681473,2018-07-23 14:03:10.790291
683063,2018-07-23 14:03:10.790291
688873,2018-07-23 14:03:10.790291
689293,2018-07-23 14:03:10.790291
697403,2018-07-23 14:03:10.790291
697793,2018-07-23 14:03:10.790291
702253,2018-07-23 14:03:10.790291
703673,2018-07-23 14:03:10.790291
711213,2018-07-23 14:03:10.790291
711543,2018-07-23 14:03:10.790291
725323,2018-07-23 14:03:10.790291
735333,2018-07-23 14:03:10.790291
745323,2018-07-23 14:03:10.790291
755384,2018-07-23 14:03:10.790291
756463,2018-07-23 14:03:10.790291
763885,2018-07-23 14:03:10.790291
765694,2018-07-23 14:03:10.790291
766279,2018-07-23 14:03:10.790291
774417,2018-07-23 14:03:10.790291
774968,2018-07-23 14:03:10.790291
775474,2018-07-23 14:03:10.790291
778019,2018-07-23 14:03:10.790291
783092,2018-07-23 14:03:10.790291
783909,2018-07-23 14:03:10.790291
788166,2018-07-23 14:03:10.790291
789888,2018-07-23 14:03:10.790291
789993,2018-07-23 14:03:10.790291
791334,2018-07-23 14:03:10.790291
792135,2018-07-23 14:03:10.790291
795876,2018-07-23 14:03:10.790291
797011,2018-07-23 14:03:10.790291
799081,2018-07-23 14:03:10.790291
804100,2018-07-23 14:03:10.790291
808235,2018-07-23 14:03:10.790291
813357,2018-07-23 14:03:10.790291
817394,2018-07-23 14:03:10.790291
818967,2018-07-23 14:03:10.790291
819747,2018-07-23 14:03:10.790291
819797,2018-07-23 14:03:10.790291
819942,2018-07-23 14:03:10.790291
821583,2018-07-23 14:03:10.790291
823012,2018-07-23 14:03:10.790291
823380,2018-07-23 14:03:10.790291
873931,2018-07-23 14:03:10.790291
944151,2018-07-23 14:03:10.790291
945991,2018-07-23 14:03:10.790291
958231,2018-07-23 14:03:10.790291
964941,2018-07-23 14:03:10.790291
992361,2018-07-23 14:03:10.790291
1035151,2018-07-23 14:03:10.790291
1038301,2018-07-23 14:03:10.790291
1054241,2018-07-23 14:03:10.790291
1058831,2018-07-23 14:03:10.790291
1063491,2018-07-23 14:03:10.790291
1071281,2018-07-23 14:03:10.790291
1113801,2018-07-23 14:03:10.790291
1124611,2018-07-23 14:03:10.790291
1160471,2018-07-23 14:03:10.790291
1221161,2018-07-23 14:03:10.790291
1246421,2018-07-23 14:03:10.790291
1289051,2018-07-23 14:03:10.790291
1323551,2018-07-23 14:03:10.790291
1347281,2018-07-23 14:03:10.790291
1359121,2018-07-23 14:03:10.790291
1366811,2018-07-23 14:03:10.790291
1481631,2018-07-23 14:03:10.790291
1495421,2018-07-23 14:03:10.790291
1501681,2018-07-23 14:03:10.790291
1504951,2018-07-23 14:03:10.790291
1505791,2018-07-23 14:03:10.790291
1532061,2018-07-23 14:03:10.790291
1572821,2018-07-23 14:03:10.790291
1588821,2018-07-23 14:03:10.790291
1592781,2018-07-23 14:03:10.790291
1672821,2018-07-23 14:03:10.790291
1674581,2018-07-23 14:03:10.790291
1674951,2018-07-23 14:03:10.790291
1723451,2018-07-23 14:03:10.790291
1724581,2018-07-23 14:03:10.790291
1729241,2018-07-23 14:03:10.790291
1777771,2018-07-23 14:03:10.790291
1786531,2018-07-23 14:03:10.790291
1853211,2018-07-23 14:03:10.790291
1858771,2018-07-23 14:03:10.790291
1859981,2018-07-23 14:03:10.790291
1950081,2018-07-23 14:03:10.790291
2011341,2018-07-23 14:03:10.790291
2053491,2018-07-23 14:03:10.790291
2079751,2018-07-23 14:03:10.790291
2140881,2018-07-23 14:03:10.790291
2141921,2018-07-23 14:03:10.790291
2142841,2018-07-23 14:03:10.790291
2225211,2018-07-23 14:03:10.790291
2585421,2018-07-23 14:03:10.790291
2595481,2018-07-23 14:03:10.790291
2734091,2018-07-23 14:03:10.790291
2743601,2018-07-23 14:03:10.790291
2790981,2018-07-23 14:03:10.790291
2848341,2018-07-23 14:03:10.790291
2857391,2018-07-23 14:03:10.790291
2955691,2018-07-23 14:03:10.790291
2971701,2018-07-23 14:03:10.790291
3005371,2018-07-23 14:03:10.790291
3007491,2018-07-23 14:03:10.790291
3124571,2018-07-23 14:03:10.790291
3222181,2018-07-23 14:03:10.790291
3228191,2018-07-23 14:03:10.790291
3234521,2018-07-23 14:03:10.790291
3469141,2018-07-23 14:03:10.790291
3576561,2018-07-23 14:03:10.790291
3586661,2018-07-23 14:03:10.790291
3658721,2018-07-23 14:03:10.790291
3672001,2018-07-23 14:03:10.790291
3673151,2018-07-23 14:03:10.790291
3682431,2018-07-23 14:03:10.790291
3720411,2018-07-23 14:03:10.790291
3748461,2018-07-23 14:03:10.790291
4174061,2018-07-23 14:03:10.790291
4174571,2018-07-23 14:03:10.790291
4204381,2018-07-23 14:03:10.790291
4243041,2018-07-23 14:03:10.790291
4244871,2018-07-23 14:03:10.790291
4257571,2018-07-23 14:03:10.790291
4276281,2018-07-23 14:03:10.790291
4421911,2018-07-23 14:03:10.790291
4509361,2018-07-23 14:03:10.790291
4528001,2018-07-23 14:03:10.790291
4570261,2018-07-23 14:03:10.790291
4719781,2018-07-23 14:03:10.790291
4822681,2018-07-23 14:03:10.790291
4937711,2018-07-23 14:03:10.790291
4942791,2018-07-23 14:03:10.790291
4955811,2018-07-23 14:03:10.790291
5016491,2018-07-23 14:03:10.790291
5017391,2018-07-23 14:03:10.790291
5236611,2018-07-23 14:03:10.790291
5346742,2018-07-23 14:03:10.790291
5361852,2018-07-23 14:03:10.790291
5428152,2018-07-23 14:03:10.790291
5441842,2018-07-23 14:03:10.790291
5446692,2018-07-23 14:03:10.790291
5474512,2018-07-23 14:03:10.790291
5497422,2018-07-23 14:03:10.790291
5509302,2018-07-23 14:03:10.790291
5518212,2018-07-23 14:03:10.790291
5548952,2018-07-23 14:03:10.790291
5556502,2018-07-23 14:03:10.790291
5618162,2018-07-23 14:03:10.790291
5678942,2018-07-23 14:03:10.790291
5743392,2018-07-23 14:03:10.790291
5746882,2018-07-23 14:03:10.790291
5749372,2018-07-23 14:03:10.790291
5752072,2018-07-23 14:03:10.790291
5768002,2018-07-23 14:03:10.790291
5776552,2018-07-23 14:03:10.790291
5792732,2018-07-23 14:03:10.790291
5794742,2018-07-23 14:03:10.790291
5803082,2018-07-23 14:03:10.790291
5846562,2018-07-23 14:03:10.790291
5893442,2018-07-23 14:03:10.790291
5924992,2018-07-23 14:03:10.790291
5949162,2018-07-23 14:03:10.790291
5970352,2018-07-23 14:03:10.790291
6029582,2018-07-23 14:03:10.790291
6035812,2018-07-23 14:03:10.790291
6036662,2018-07-23 14:03:10.790291
6065462,2018-07-23 14:03:10.790291
6131952,2018-07-23 14:03:10.790291
6171992,2018-07-23 14:03:10.790291
6187652,2018-07-23 14:03:10.790291
6210062,2018-07-23 14:03:10.790291
6221502,2018-07-23 14:03:10.790291
6262812,2018-07-23 14:03:10.790291
6291872,2018-07-23 14:03:10.790291
6395352,2018-07-23 14:03:10.790291
6403952,2018-07-23 14:03:10.790291
6430402,2018-07-23 14:03:10.790291
6505862,2018-07-23 14:03:10.790291
6514902,2018-07-23 14:03:10.790291
6533132,2018-07-23 14:03:10.790291
6545652,2018-07-23 14:03:10.790291
6548592,2018-07-23 14:03:10.790291
6582742,2018-07-23 14:03:10.790291
6611772,2018-07-23 14:03:10.790291
6701022,2018-07-23 14:03:10.790291
6701862,2018-07-23 14:03:10.790291
6716292,2018-07-23 14:03:10.790291
6742522,2018-07-23 14:03:10.790291
6744502,2018-07-23 14:03:10.790291
6757622,2018-07-23 14:03:10.790291
6858242,2018-07-23 14:03:10.790291
6862452,2018-07-23 14:03:10.790291
6864902,2018-07-23 14:03:10.790291
6914722,2018-07-23 14:03:10.790291
7026222,2018-07-23 14:03:10.790291
7061802,2018-07-23 14:03:10.790291
7063292,2018-07-23 14:03:10.790291
7075952,2018-07-23 14:03:10.790291
7132792,2018-07-23 14:03:10.790291
7135882,2018-07-23 14:03:10.790291
7181742,2018-07-23 14:03:10.790291
7196842,2018-07-23 14:03:10.790291
7215612,2018-07-23 14:03:10.790291
7252532,2018-07-23 14:03:10.790291
7286972,2018-07-23 14:03:10.790291
7294322,2018-07-23 14:03:10.790291
7339132,2018-07-23 14:03:10.790291
7370952,2018-07-23 14:03:10.790291
7385202,2018-07-23 14:03:10.790291
7418832,2018-07-23 14:03:10.790291
7433552,2018-07-23 14:03:10.790291
7449332,2018-07-23 14:03:10.790291
7475972,2018-07-23 14:03:10.790291
7479042,2018-07-23 14:03:10.790291
7484192,2018-07-23 14:03:10.790291
7491102,2018-07-23 14:03:10.790291
7538352,2018-07-23 14:03:10.790291
7575592,2018-07-23 14:03:10.790291
7606132,2018-07-23 14:03:10.790291
7611742,2018-07-23 14:03:10.790291
7621482,2018-07-23 14:03:10.790291
7641332,2018-07-23 14:03:10.790291
7662312,2018-07-23 14:03:10.790291
7670482,2018-07-23 14:03:10.790291
7671832,2018-07-23 14:03:10.790291
7690892,2018-07-23 14:03:10.790291
7694862,2018-07-23 14:03:10.790291
7715102,2018-07-23 14:03:10.790291
7718102,2018-07-23 14:03:10.790291
7724532,2018-07-23 14:03:10.790291
7774452,2018-07-23 14:03:10.790291
7782372,2018-07-23 14:03:10.790291
7786962,2018-07-23 14:03:10.790291
7791482,2018-07-23 14:03:10.790291
7854982,2018-07-23 14:03:10.790291
7892372,2018-07-23 14:03:10.790291
7892442,2018-07-23 14:03:10.790291
7910542,2018-07-23 14:03:10.790291
7932082,2018-07-23 14:03:10.790291
7963542,2018-07-23 14:03:10.790291
8014392,2018-07-23 14:03:10.790291
