idUsuario,dataDesvinculacao
14873826,2018-07-24 11:30:41.123267
15788047,2018-07-24 11:30:41.123267
17325445,2018-07-24 11:30:41.123267
44983928,2018-07-24 11:30:41.123267
64870888,2018-07-24 11:30:41.123267
126833480,2018-07-24 11:30:41.123267
154708127,2018-07-24 11:30:41.123267
233267470,2018-07-24 11:30:41.123267
245968855,2018-07-24 11:30:41.123267
275785635,2018-07-24 11:30:41.123267
316565401,2018-07-24 11:30:41.123267
385198732,2018-07-24 11:30:41.123267
403485611,2018-07-24 11:30:41.123267
466183294,2018-07-24 11:30:41.123267
483640384,2018-07-24 11:30:41.123267
1257942314,2018-07-24 11:30:41.123267
1599890719,2018-07-24 11:30:41.123267
2204300712,2018-07-24 11:30:41.123267
2251289024,2018-07-24 11:30:41.123267
2818362661,2018-07-24 11:30:41.123267
2975163549,2018-07-24 11:30:41.123267
3300791573,2018-07-24 11:30:41.123267
3305450268,2018-07-24 11:30:41.123267
4102453694,2018-07-24 11:30:41.123267
4803813855,2018-07-24 11:30:41.123267
740221992545050626,2018-07-24 11:30:41.123267
784945448792444928,2018-07-24 11:30:41.123267
788139776583008256,2018-07-24 11:30:41.123267
823708766487117824,2018-07-24 11:30:41.123267
874883418210938880,2018-07-24 11:30:41.123267
879238000869298176,2018-07-24 11:30:41.123267
907602617957801984,2018-07-24 11:30:41.123267
931983139391414272,2018-07-24 11:30:41.123267
941863551743885313,2018-07-24 11:30:41.123267
945932340974497792,2018-07-24 11:30:41.123267
964987372608933890,2018-07-24 11:30:41.123267
14237548,2018-07-25 21:47:08.951912
15944834,2018-07-25 21:47:08.951912
19814854,2018-07-25 21:47:08.951912
24144237,2018-07-25 21:47:08.951912
35480683,2018-07-25 21:47:08.951912
36365420,2018-07-25 21:47:08.951912
46420200,2018-07-25 21:47:08.951912
55883571,2018-07-25 21:47:08.951912
62396784,2018-07-25 21:47:08.951912
63777820,2018-07-25 21:47:08.951912
68627231,2018-07-25 21:47:08.951912
106308361,2018-07-25 21:47:08.951912
109920641,2018-07-25 21:47:08.951912
114070974,2018-07-25 21:47:08.951912
121833823,2018-07-25 21:47:08.951912
138919736,2018-07-25 21:47:08.951912
171600660,2018-07-25 21:47:08.951912
190284794,2018-07-25 21:47:08.951912
194576265,2018-07-25 21:47:08.951912
223610617,2018-07-25 21:47:08.951912
225428271,2018-07-25 21:47:08.951912
271702802,2018-07-25 21:47:08.951912
301577317,2018-07-25 21:47:08.951912
304180071,2018-07-25 21:47:08.951912
338843332,2018-07-25 21:47:08.951912
340545070,2018-07-25 21:47:08.951912
350347852,2018-07-25 21:47:08.951912
372819308,2018-07-25 21:47:08.951912
374610323,2018-07-25 21:47:08.951912
381658362,2018-07-25 21:47:08.951912
385704119,2018-07-25 21:47:08.951912
442339227,2018-07-25 21:47:08.951912
471541869,2018-07-25 21:47:08.951912
635114256,2018-07-25 21:47:08.951912
898594224,2018-07-25 21:47:08.951912
1021075698,2018-07-25 21:47:08.951912
1086564900,2018-07-25 21:47:08.951912
1158330420,2018-07-25 21:47:08.951912
1390783118,2018-07-25 21:47:08.951912
1549590020,2018-07-25 21:47:08.951912
1563963278,2018-07-25 21:47:08.951912
1581213714,2018-07-25 21:47:08.951912
1968883592,2018-07-25 21:47:08.951912
2515890791,2018-07-25 21:47:08.951912
2783391024,2018-07-25 21:47:08.951912
2817506024,2018-07-25 21:47:08.951912
2986216761,2018-07-25 21:47:08.951912
3948908603,2018-07-25 21:47:08.951912
4280754559,2018-07-25 21:47:08.951912
4811494442,2018-07-25 21:47:08.951912
4860887302,2018-07-25 21:47:08.951912
705232619110322176,2018-07-25 21:47:08.951912
714174324383604737,2018-07-25 21:47:08.951912
746869826426118144,2018-07-25 21:47:08.951912
755803241556869120,2018-07-25 21:47:08.951912
844614056837242881,2018-07-25 21:47:08.951912
910997362289471488,2018-07-25 21:47:08.951912
1020952796311572480,2018-07-25 21:47:08.951912
4216531,2018-07-26 22:02:16.319793
14579605,2018-07-26 22:02:16.319793
16087941,2018-07-26 22:02:16.319793
19117086,2018-07-26 22:02:16.319793
22739026,2018-07-26 22:02:16.319793
26605243,2018-07-26 22:02:16.319793
105666781,2018-07-26 22:02:16.319793
109114726,2018-07-26 22:02:16.319793
112457579,2018-07-26 22:02:16.319793
227919023,2018-07-26 22:02:16.319793
230041120,2018-07-26 22:02:16.319793
240031347,2018-07-26 22:02:16.319793
261805023,2018-07-26 22:02:16.319793
321144495,2018-07-26 22:02:16.319793
339425674,2018-07-26 22:02:16.319793
359573468,2018-07-26 22:02:16.319793
406214827,2018-07-26 22:02:16.319793
406679777,2018-07-26 22:02:16.319793
453625262,2018-07-26 22:02:16.319793
470584060,2018-07-26 22:02:16.319793
476764560,2018-07-26 22:02:16.319793
1494306331,2018-07-26 22:02:16.319793
2289081382,2018-07-26 22:02:16.319793
2369939155,2018-07-26 22:02:16.319793
2544090153,2018-07-26 22:02:16.319793
2758273743,2018-07-26 22:02:16.319793
2802188862,2018-07-26 22:02:16.319793
2861341258,2018-07-26 22:02:16.319793
2921494186,2018-07-26 22:02:16.319793
745823533838655489,2018-07-26 22:02:16.319793
748109695554985984,2018-07-26 22:02:16.319793
754755020034338816,2018-07-26 22:02:16.319793
819405059075280896,2018-07-26 22:02:16.319793
823684443994988545,2018-07-26 22:02:16.319793
867147617444167680,2018-07-26 22:02:16.319793
869411777171386368,2018-07-26 22:02:16.319793
896494825851297792,2018-07-26 22:02:16.319793
961674524851933186,2018-07-26 22:02:16.319793
15103460,2018-07-27 22:02:17.254108
15491195,2018-07-27 22:02:17.254108
16350517,2018-07-27 22:02:17.254108
18346734,2018-07-27 22:02:17.254108
18802622,2018-07-27 22:02:17.254108
20485496,2018-07-27 22:02:17.254108
23300905,2018-07-27 22:02:17.254108
34037994,2018-07-27 22:02:17.254108
48874565,2018-07-27 22:02:17.254108
71558233,2018-07-27 22:02:17.254108
73198816,2018-07-27 22:02:17.254108
77341876,2018-07-27 22:02:17.254108
100276661,2018-07-27 22:02:17.254108
114616173,2018-07-27 22:02:17.254108
115968180,2018-07-27 22:02:17.254108
120348855,2018-07-27 22:02:17.254108
139657030,2018-07-27 22:02:17.254108
165573426,2018-07-27 22:02:17.254108
172028332,2018-07-27 22:02:17.254108
177619456,2018-07-27 22:02:17.254108
188536470,2018-07-27 22:02:17.254108
270644974,2018-07-27 22:02:17.254108
285242936,2018-07-27 22:02:17.254108
286418099,2018-07-27 22:02:17.254108
311751108,2018-07-27 22:02:17.254108
312872940,2018-07-27 22:02:17.254108
329177216,2018-07-27 22:02:17.254108
400211723,2018-07-27 22:02:17.254108
501485097,2018-07-27 22:02:17.254108
629449035,2018-07-27 22:02:17.254108
631498046,2018-07-27 22:02:17.254108
703771740,2018-07-27 22:02:17.254108
758337252,2018-07-27 22:02:17.254108
911780719,2018-07-27 22:02:17.254108
924460848,2018-07-27 22:02:17.254108
934793983,2018-07-27 22:02:17.254108
1058659862,2018-07-27 22:02:17.254108
1094095225,2018-07-27 22:02:17.254108
1967903755,2018-07-27 22:02:17.254108
2223996507,2018-07-27 22:02:17.254108
2422913609,2018-07-27 22:02:17.254108
2535166459,2018-07-27 22:02:17.254108
2614515438,2018-07-27 22:02:17.254108
2685267030,2018-07-27 22:02:17.254108
3012694074,2018-07-27 22:02:17.254108
3064146063,2018-07-27 22:02:17.254108
3905961739,2018-07-27 22:02:17.254108
4325109140,2018-07-27 22:02:17.254108
4336919896,2018-07-27 22:02:17.254108
4666124959,2018-07-27 22:02:17.254108
694271212663369728,2018-07-27 22:02:17.254108
701240584640471041,2018-07-27 22:02:17.254108
744597467480526848,2018-07-27 22:02:17.254108
759062951529545730,2018-07-27 22:02:17.254108
774617472850882561,2018-07-27 22:02:17.254108
808074322782908420,2018-07-27 22:02:17.254108
826223696398282752,2018-07-27 22:02:17.254108
876206330083782657,2018-07-27 22:02:17.254108
898544213024886784,2018-07-27 22:02:17.254108
910484861760294913,2018-07-27 22:02:17.254108
913274324794040320,2018-07-27 22:02:17.254108
969701179465793536,2018-07-27 22:02:17.254108
970345582693937153,2018-07-27 22:02:17.254108
7837692,2018-07-28 22:02:18.359479
16131833,2018-07-28 22:02:18.359479
19568382,2018-07-28 22:02:18.359479
19757047,2018-07-28 22:02:18.359479
20109281,2018-07-28 22:02:18.359479
20705996,2018-07-28 22:02:18.359479
47483198,2018-07-28 22:02:18.359479
99146508,2018-07-28 22:02:18.359479
113424749,2018-07-28 22:02:18.359479
121656414,2018-07-28 22:02:18.359479
296547772,2018-07-28 22:02:18.359479
332480125,2018-07-28 22:02:18.359479
348151620,2018-07-28 22:02:18.359479
377594153,2018-07-28 22:02:18.359479
554009818,2018-07-28 22:02:18.359479
626742089,2018-07-28 22:02:18.359479
855383622,2018-07-28 22:02:18.359479
1288393760,2018-07-28 22:02:18.359479
1355635070,2018-07-28 22:02:18.359479
1398654900,2018-07-28 22:02:18.359479
1942541906,2018-07-28 22:02:18.359479
2569154647,2018-07-28 22:02:18.359479
2749897445,2018-07-28 22:02:18.359479
2893108727,2018-07-28 22:02:18.359479
3286185752,2018-07-28 22:02:18.359479
4197525082,2018-07-28 22:02:18.359479
4626078077,2018-07-28 22:02:18.359479
734920759785750529,2018-07-28 22:02:18.359479
742445804863016960,2018-07-28 22:02:18.359479
752209428481318912,2018-07-28 22:02:18.359479
755432906395258880,2018-07-28 22:02:18.359479
769140375298637824,2018-07-28 22:02:18.359479
813061018666631168,2018-07-28 22:02:18.359479
896824351890305027,2018-07-28 22:02:18.359479
912376725652234243,2018-07-28 22:02:18.359479
1007129131002224640,2018-07-28 22:02:18.359479
1008894167353843712,2018-07-28 22:02:18.359479
19501631,2018-07-29 22:02:16.980510
21965164,2018-07-29 22:02:16.980510
115198632,2018-07-29 22:02:16.980510
123057374,2018-07-29 22:02:16.980510
195158137,2018-07-29 22:02:16.980510
353183072,2018-07-29 22:02:16.980510
387900302,2018-07-29 22:02:16.980510
399779966,2018-07-29 22:02:16.980510
462464823,2018-07-29 22:02:16.980510
487297028,2018-07-29 22:02:16.980510
500961128,2018-07-29 22:02:16.980510
1092560754,2018-07-29 22:02:16.980510
1872925398,2018-07-29 22:02:16.980510
2990930668,2018-07-29 22:02:16.980510
3218886364,2018-07-29 22:02:16.980510
3240913928,2018-07-29 22:02:16.980510
3795335423,2018-07-29 22:02:16.980510
744062167272534016,2018-07-29 22:02:16.980510
765529576042790912,2018-07-29 22:02:16.980510
792495649027530753,2018-07-29 22:02:16.980510
887559615642304512,2018-07-29 22:02:16.980510
924763093288222720,2018-07-29 22:02:16.980510
978407597823971328,2018-07-29 22:02:16.980510
7380362,2018-07-30 22:02:20.253795
15741263,2018-07-30 22:02:20.253795
22856145,2018-07-30 22:02:20.253795
24607711,2018-07-30 22:02:20.253795
27058591,2018-07-30 22:02:20.253795
32146367,2018-07-30 22:02:20.253795
33788564,2018-07-30 22:02:20.253795
34842493,2018-07-30 22:02:20.253795
35558306,2018-07-30 22:02:20.253795
40681419,2018-07-30 22:02:20.253795
91495197,2018-07-30 22:02:20.253795
94666366,2018-07-30 22:02:20.253795
100431430,2018-07-30 22:02:20.253795
149310896,2018-07-30 22:02:20.253795
195105759,2018-07-30 22:02:20.253795
224756198,2018-07-30 22:02:20.253795
330356064,2018-07-30 22:02:20.253795
392331509,2018-07-30 22:02:20.253795
599197936,2018-07-30 22:02:20.253795
604137939,2018-07-30 22:02:20.253795
618566436,2018-07-30 22:02:20.253795
626904987,2018-07-30 22:02:20.253795
987799236,2018-07-30 22:02:20.253795
1217246228,2018-07-30 22:02:20.253795
1695722822,2018-07-30 22:02:20.253795
2156058914,2018-07-30 22:02:20.253795
2345198082,2018-07-30 22:02:20.253795
2549084641,2018-07-30 22:02:20.253795
2787269224,2018-07-30 22:02:20.253795
3332957420,2018-07-30 22:02:20.253795
4017214936,2018-07-30 22:02:20.253795
4206266543,2018-07-30 22:02:20.253795
4474081455,2018-07-30 22:02:20.253795
4872376451,2018-07-30 22:02:20.253795
766683086121799680,2018-07-30 22:02:20.253795
815816368926773248,2018-07-30 22:02:20.253795
824327354940063754,2018-07-30 22:02:20.253795
825717265559457794,2018-07-30 22:02:20.253795
863195457467633664,2018-07-30 22:02:20.253795
873995307712991232,2018-07-30 22:02:20.253795
897561311059615744,2018-07-30 22:02:20.253795
899441861919748096,2018-07-30 22:02:20.253795
1644831,2018-08-02 10:59:48.551305
1873401,2018-08-02 10:59:48.551305
10096042,2018-08-02 10:59:48.551305
11414932,2018-08-02 10:59:48.551305
14228110,2018-08-02 10:59:48.551305
15988787,2018-08-02 10:59:48.551305
16013335,2018-08-02 10:59:48.551305
17502070,2018-08-02 10:59:48.551305
21058414,2018-08-02 10:59:48.551305
21219169,2018-08-02 10:59:48.551305
24229850,2018-08-02 10:59:48.551305
25091248,2018-08-02 10:59:48.551305
34422426,2018-08-02 10:59:48.551305
67679674,2018-08-02 10:59:48.551305
96616131,2018-08-02 10:59:48.551305
97385730,2018-08-02 10:59:48.551305
97516510,2018-08-02 10:59:48.551305
103794694,2018-08-02 10:59:48.551305
105377888,2018-08-02 10:59:48.551305
117280285,2018-08-02 10:59:48.551305
161716960,2018-08-02 10:59:48.551305
194263475,2018-08-02 10:59:48.551305
205415273,2018-08-02 10:59:48.551305
214704112,2018-08-02 10:59:48.551305
252390965,2018-08-02 10:59:48.551305
254127993,2018-08-02 10:59:48.551305
254213168,2018-08-02 10:59:48.551305
255170949,2018-08-02 10:59:48.551305
259758071,2018-08-02 10:59:48.551305
275435372,2018-08-02 10:59:48.551305
275573151,2018-08-02 10:59:48.551305
281579698,2018-08-02 10:59:48.551305
313217289,2018-08-02 10:59:48.551305
316676866,2018-08-02 10:59:48.551305
351078453,2018-08-02 10:59:48.551305
363478654,2018-08-02 10:59:48.551305
370476186,2018-08-02 10:59:48.551305
381721022,2018-08-02 10:59:48.551305
382316715,2018-08-02 10:59:48.551305
427141173,2018-08-02 10:59:48.551305
491706996,2018-08-02 10:59:48.551305
493468476,2018-08-02 10:59:48.551305
496723277,2018-08-02 10:59:48.551305
551644983,2018-08-02 10:59:48.551305
619513806,2018-08-02 10:59:48.551305
735412309,2018-08-02 10:59:48.551305
894598231,2018-08-02 10:59:48.551305
919860212,2018-08-02 10:59:48.551305
938210342,2018-08-02 10:59:48.551305
1000677463,2018-08-02 10:59:48.551305
1016574002,2018-08-02 10:59:48.551305
1151704477,2018-08-02 10:59:48.551305
1279355047,2018-08-02 10:59:48.551305
1337908718,2018-08-02 10:59:48.551305
1507923582,2018-08-02 10:59:48.551305
1532436324,2018-08-02 10:59:48.551305
2189190260,2018-08-02 10:59:48.551305
2205306161,2018-08-02 10:59:48.551305
2311605883,2018-08-02 10:59:48.551305
2434556916,2018-08-02 10:59:48.551305
2565554899,2018-08-02 10:59:48.551305
2569912494,2018-08-02 10:59:48.551305
2680200025,2018-08-02 10:59:48.551305
2893736374,2018-08-02 10:59:48.551305
2912693653,2018-08-02 10:59:48.551305
2918757268,2018-08-02 10:59:48.551305
3150446496,2018-08-02 10:59:48.551305
3167083190,2018-08-02 10:59:48.551305
3180348790,2018-08-02 10:59:48.551305
3352657263,2018-08-02 10:59:48.551305
3755933775,2018-08-02 10:59:48.551305
4129264272,2018-08-02 10:59:48.551305
4868233108,2018-08-02 10:59:48.551305
704620667774365696,2018-08-02 10:59:48.551305
706163032209104897,2018-08-02 10:59:48.551305
735602582672941056,2018-08-02 10:59:48.551305
760593454736953344,2018-08-02 10:59:48.551305
797116483004465152,2018-08-02 10:59:48.551305
846574036960382976,2018-08-02 10:59:48.551305
849884641368485891,2018-08-02 10:59:48.551305
868753945497403392,2018-08-02 10:59:48.551305
870819447325511680,2018-08-02 10:59:48.551305
872259412664233984,2018-08-02 10:59:48.551305
947105488017285121,2018-08-02 10:59:48.551305
971805342702194689,2018-08-02 10:59:48.551305
981723779591213057,2018-08-02 10:59:48.551305
1016522958326718465,2018-08-02 10:59:48.551305
23443247,2018-08-03 11:00:15.519369
23609712,2018-08-03 11:00:15.519369
34204962,2018-08-03 11:00:15.519369
39030511,2018-08-03 11:00:15.519369
42715974,2018-08-03 11:00:15.519369
84280991,2018-08-03 11:00:15.519369
113547271,2018-08-03 11:00:15.519369
116848980,2018-08-03 11:00:15.519369
175855743,2018-08-03 11:00:15.519369
194676139,2018-08-03 11:00:15.519369
373793947,2018-08-03 11:00:15.519369
422185354,2018-08-03 11:00:15.519369
509369547,2018-08-03 11:00:15.519369
565648036,2018-08-03 11:00:15.519369
619327738,2018-08-03 11:00:15.519369
635669921,2018-08-03 11:00:15.519369
862945063,2018-08-03 11:00:15.519369
1100496762,2018-08-03 11:00:15.519369
1325127560,2018-08-03 11:00:15.519369
1540185768,2018-08-03 11:00:15.519369
1585969790,2018-08-03 11:00:15.519369
2204287640,2018-08-03 11:00:15.519369
2305769010,2018-08-03 11:00:15.519369
2473502566,2018-08-03 11:00:15.519369
2578992570,2018-08-03 11:00:15.519369
2911633967,2018-08-03 11:00:15.519369
3054305222,2018-08-03 11:00:15.519369
3320953844,2018-08-03 11:00:15.519369
3329969476,2018-08-03 11:00:15.519369
4309587135,2018-08-03 11:00:15.519369
4853734175,2018-08-03 11:00:15.519369
4864454386,2018-08-03 11:00:15.519369
743654723601850368,2018-08-03 11:00:15.519369
756551091182002176,2018-08-03 11:00:15.519369
803455594808115204,2018-08-03 11:00:15.519369
911914722026549249,2018-08-03 11:00:15.519369
925925063513264129,2018-08-03 11:00:15.519369
1008814152675135488,2018-08-03 11:00:15.519369
10266032,2018-08-04 11:00:14.165822
14263637,2018-08-04 11:00:14.165822
14840267,2018-08-04 11:00:14.165822
16482657,2018-08-04 11:00:14.165822
16931360,2018-08-04 11:00:14.165822
27068137,2018-08-04 11:00:14.165822
54661743,2018-08-04 11:00:14.165822
71627992,2018-08-04 11:00:14.165822
93947531,2018-08-04 11:00:14.165822
144263374,2018-08-04 11:00:14.165822
176840188,2018-08-04 11:00:14.165822
