idUsuario,ataVinculacao
22,2018-07-23 11:30:38.756707
295,2018-07-23 11:30:38.756707
714,2018-07-23 11:30:38.756707
767,2018-07-23 11:30:38.756707
850,2018-07-23 11:30:38.756707
997,2018-07-23 11:30:38.756707
1186,2018-07-23 11:30:38.756707
1198,2018-07-23 11:30:38.756707
1378,2018-07-23 11:30:38.756707
1528,2018-07-23 11:30:38.756707
1929,2018-07-23 11:30:38.756707
1999,2018-07-23 11:30:38.756707
2092,2018-07-23 11:30:38.756707
2168,2018-07-23 11:30:38.756707
2539,2018-07-23 11:30:38.756707
2691,2018-07-23 11:30:38.756707
3288,2018-07-23 11:30:38.756707
3426,2018-07-23 11:30:38.756707
3519,2018-07-23 11:30:38.756707
3692,2018-07-23 11:30:38.756707
3839,2018-07-23 11:30:38.756707
3922,2018-07-23 11:30:38.756707
4488,2018-07-23 11:30:38.756707
4556,2018-07-23 11:30:38.756707
4908,2018-07-23 11:30:38.756707
5362,2018-07-23 11:30:38.756707
5517,2018-07-23 11:30:38.756707
5622,2018-07-23 11:30:38.756707
5702,2018-07-23 11:30:38.756707
7221,2018-07-23 11:30:38.756707
8555,2018-07-23 11:30:38.756707
8569,2018-07-23 11:30:38.756707
8922,2018-07-23 11:30:38.756707
9213,2018-07-23 11:30:38.756707
9480,2018-07-23 11:30:38.756707
10038,2018-07-23 11:30:38.756707
10041,2018-07-23 11:30:38.756707
10053,2018-07-23 11:30:38.756707
10210,2018-07-23 11:30:38.756707
10222,2018-07-23 11:30:38.756707
10385,2018-07-23 11:30:38.756707
10449,2018-07-23 11:30:38.756707
10746,2018-07-23 11:30:38.756707
10758,2018-07-23 11:30:38.756707
11063,2018-07-23 11:30:38.756707
11197,2018-07-23 11:30:38.756707
11333,2018-07-23 11:30:38.756707
11422,2018-07-23 11:30:38.756707
11436,2018-07-23 11:30:38.756707
11495,2018-07-23 11:30:38.756707
11830,2018-07-23 11:30:38.756707
11840,2018-07-23 11:30:38.756707
12435,2018-07-23 11:30:38.756707
12577,2018-07-23 11:30:38.756707
12825,2018-07-23 11:30:38.756707
12902,2018-07-23 11:30:38.756707
12915,2018-07-23 11:30:38.756707
13012,2018-07-23 11:30:38.756707
13055,2018-07-23 11:30:38.756707
13407,2018-07-23 11:30:38.756707
13614,2018-07-23 11:30:38.756707
13621,2018-07-23 11:30:38.756707
14293,2018-07-23 11:30:38.756707
16173,2018-07-23 11:30:38.756707
16853,2018-07-23 11:30:38.756707
19073,2018-07-23 11:30:38.756707
20133,2018-07-23 11:30:38.756707
21203,2018-07-23 11:30:38.756707
22523,2018-07-23 11:30:38.756707
22783,2018-07-23 11:30:38.756707
24073,2018-07-23 11:30:38.756707
29283,2018-07-23 11:30:38.756707
30103,2018-07-23 11:30:38.756707
30983,2018-07-23 11:30:38.756707
32813,2018-07-23 11:30:38.756707
32833,2018-07-23 11:30:38.756707
33363,2018-07-23 11:30:38.756707
33503,2018-07-23 11:30:38.756707
35213,2018-07-23 11:30:38.756707
35993,2018-07-23 11:30:38.756707
36393,2018-07-23 11:30:38.756707
36423,2018-07-23 11:30:38.756707
38393,2018-07-23 11:30:38.756707
39373,2018-07-23 11:30:38.756707
40013,2018-07-23 11:30:38.756707
40723,2018-07-23 11:30:38.756707
41123,2018-07-23 11:30:38.756707
43603,2018-07-23 11:30:38.756707
44013,2018-07-23 11:30:38.756707
45443,2018-07-23 11:30:38.756707
45993,2018-07-23 11:30:38.756707
49833,2018-07-23 11:30:38.756707
51553,2018-07-23 11:30:38.756707
52303,2018-07-23 11:30:38.756707
52733,2018-07-23 11:30:38.756707
52893,2018-07-23 11:30:38.756707
54913,2018-07-23 11:30:38.756707
56673,2018-07-23 11:30:38.756707
61133,2018-07-23 11:30:38.756707
64303,2018-07-23 11:30:38.756707
66373,2018-07-23 11:30:38.756707
70563,2018-07-23 11:30:38.756707
71203,2018-07-23 11:30:38.756707
73883,2018-07-23 11:30:38.756707
74603,2018-07-23 11:30:38.756707
74863,2018-07-23 11:30:38.756707
76633,2018-07-23 11:30:38.756707
78343,2018-07-23 11:30:38.756707
80323,2018-07-23 11:30:38.756707
96023,2018-07-23 11:30:38.756707
158973,2018-07-23 11:30:38.756707
178613,2018-07-23 11:30:38.756707
189663,2018-07-23 11:30:38.756707
263773,2018-07-23 11:30:38.756707
289403,2018-07-23 11:30:38.756707
336113,2018-07-23 11:30:38.756707
360413,2018-07-23 11:30:38.756707
362383,2018-07-23 11:30:38.756707
383373,2018-07-23 11:30:38.756707
397713,2018-07-23 11:30:38.756707
496723,2018-07-23 11:30:38.756707
596493,2018-07-23 11:30:38.756707
603673,2018-07-23 11:30:38.756707
609693,2018-07-23 11:30:38.756707
610673,2018-07-23 11:30:38.756707
611593,2018-07-23 11:30:38.756707
616523,2018-07-23 11:30:38.756707
626793,2018-07-23 11:30:38.756707
627383,2018-07-23 11:30:38.756707
627473,2018-07-23 11:30:38.756707
627923,2018-07-23 11:30:38.756707
637133,2018-07-23 11:30:38.756707
637313,2018-07-23 11:30:38.756707
641113,2018-07-23 11:30:38.756707
641443,2018-07-23 11:30:38.756707
643513,2018-07-23 11:30:38.756707
649423,2018-07-23 11:30:38.756707
653143,2018-07-23 11:30:38.756707
655833,2018-07-23 11:30:38.756707
656153,2018-07-23 11:30:38.756707
656263,2018-07-23 11:30:38.756707
657073,2018-07-23 11:30:38.756707
658543,2018-07-23 11:30:38.756707
658643,2018-07-23 11:30:38.756707
662323,2018-07-23 11:30:38.756707
663953,2018-07-23 11:30:38.756707
667833,2018-07-23 11:30:38.756707
670183,2018-07-23 11:30:38.756707
671293,2018-07-23 11:30:38.756707
673153,2018-07-23 11:30:38.756707
678703,2018-07-23 11:30:38.756707
680743,2018-07-23 11:30:38.756707
681473,2018-07-23 11:30:38.756707
681693,2018-07-23 11:30:38.756707
682323,2018-07-23 11:30:38.756707
682823,2018-07-23 11:30:38.756707
683993,2018-07-23 11:30:38.756707
685763,2018-07-23 11:30:38.756707
685863,2018-07-23 11:30:38.756707
687843,2018-07-23 11:30:38.756707
690313,2018-07-23 11:30:38.756707
691713,2018-07-23 11:30:38.756707
694353,2018-07-23 11:30:38.756707
696273,2018-07-23 11:30:38.756707
699953,2018-07-23 11:30:38.756707
705153,2018-07-23 11:30:38.756707
705773,2018-07-23 11:30:38.756707
705883,2018-07-23 11:30:38.756707
709453,2018-07-23 11:30:38.756707
