idUsuario,dataDesvinculacao
916844466815647744,2018-07-27 20:01:42.100943
800220052754530304,2018-07-28 20:01:36.627375
55528924,2018-07-29 20:01:43.844235
557778747,2018-07-29 20:01:43.844235
1180076676,2018-08-02 09:14:15.479544
217266358,2018-08-04 08:59:33.779859
480837278,2018-08-06 08:59:34.215356
826168888056541185,2018-08-07 08:59:40.416747
47223494,2018-08-08 08:59:35.183122
15209120,2018-08-09 08:59:35.682808
59269083,2018-08-09 08:59:35.682808
813901784,2018-08-09 08:59:35.682808
15126059,2018-08-10 08:59:34.411342
92669168,2018-08-13 08:59:32.582719
241213680,2018-08-16 08:59:36.662034
3550537875,2018-08-17 08:59:36.651875
14524566,2018-08-18 08:59:30.606760
706477238,2018-08-18 08:59:30.606760
205620038,2018-08-20 13:39:07.439257
3173755872,2018-08-20 13:39:07.439257
338902601,2018-08-21 13:39:09.580270
1732271466,2018-08-23 13:39:14.597970
895345337652703232,2018-08-25 17:57:43.048527
935175178451025922,2018-08-25 17:57:43.048527
23015726,2018-08-26 17:57:37.988736
28757305,2018-08-26 17:57:37.988736
817730214,2018-08-26 17:57:37.988736
986229890616823810,2018-08-27 17:57:37.660274
713207440938897409,2018-08-30 22:45:44.447151
304616537,2018-09-02 07:44:31.282843
15025937,2018-09-04 07:44:26.315435
17431810,2018-09-04 07:44:26.315435
20059156,2018-09-05 07:44:26.099767
1031076785126076416,2018-09-05 07:44:26.099767
1365339451,2018-09-06 07:44:28.060232
