idUsuario,ataVinculacao
414,2018-07-23 09:29:51.354014
2069,2018-07-23 09:29:51.354014
2577,2018-07-23 09:29:51.354014
4488,2018-07-23 09:29:51.354014
5618,2018-07-23 09:29:51.354014
12406,2018-07-23 09:29:51.354014
17853,2018-07-23 09:29:51.354014
37763,2018-07-23 09:29:51.354014
40743,2018-07-23 09:29:51.354014
45143,2018-07-23 09:29:51.354014
52623,2018-07-23 09:29:51.354014
483223,2018-07-23 09:29:51.354014
608363,2018-07-23 09:29:51.354014
697793,2018-07-23 09:29:51.354014
705883,2018-07-23 09:29:51.354014
731573,2018-07-23 09:29:51.354014
755384,2018-07-23 09:29:51.354014
761520,2018-07-23 09:29:51.354014
762918,2018-07-23 09:29:51.354014
771630,2018-07-23 09:29:51.354014
776410,2018-07-23 09:29:51.354014
779451,2018-07-23 09:29:51.354014
795244,2018-07-23 09:29:51.354014
805675,2018-07-23 09:29:51.354014
806575,2018-07-23 09:29:51.354014
807206,2018-07-23 09:29:51.354014
819797,2018-07-23 09:29:51.354014
821583,2018-07-23 09:29:51.354014
958231,2018-07-23 09:29:51.354014
1112751,2018-07-23 09:29:51.354014
1182521,2018-07-23 09:29:51.354014
1305711,2018-07-23 09:29:51.354014
1348501,2018-07-23 09:29:51.354014
1498711,2018-07-23 09:29:51.354014
1563031,2018-07-23 09:29:51.354014
1592351,2018-07-23 09:29:51.354014
1820021,2018-07-23 09:29:51.354014
1914301,2018-07-23 09:29:51.354014
2000291,2018-07-23 09:29:51.354014
2015151,2018-07-23 09:29:51.354014
2512691,2018-07-23 09:29:51.354014
3287211,2018-07-23 09:29:51.354014
3927591,2018-07-23 09:29:51.354014
4040051,2018-07-23 09:29:51.354014
4103951,2018-07-23 09:29:51.354014
4528001,2018-07-23 09:29:51.354014
4622401,2018-07-23 09:29:51.354014
5278491,2018-07-23 09:29:51.354014
5361852,2018-07-23 09:29:51.354014
5470372,2018-07-23 09:29:51.354014
5518212,2018-07-23 09:29:51.354014
5555972,2018-07-23 09:29:51.354014
5644142,2018-07-23 09:29:51.354014
5719942,2018-07-23 09:29:51.354014
5749642,2018-07-23 09:29:51.354014
5774442,2018-07-23 09:29:51.354014
5792722,2018-07-23 09:29:51.354014
5850502,2018-07-23 09:29:51.354014
5923602,2018-07-23 09:29:51.354014
5969482,2018-07-23 09:29:51.354014
6146692,2018-07-23 09:29:51.354014
6192062,2018-07-23 09:29:51.354014
6286792,2018-07-23 09:29:51.354014
6504932,2018-07-23 09:29:51.354014
6508772,2018-07-23 09:29:51.354014
6563122,2018-07-23 09:29:51.354014
6633812,2018-07-23 09:29:51.354014
6829652,2018-07-23 09:29:51.354014
7044822,2018-07-23 09:29:51.354014
7045262,2018-07-23 09:29:51.354014
7305712,2018-07-23 09:29:51.354014
7318222,2018-07-23 09:29:51.354014
7375662,2018-07-23 09:29:51.354014
7588892,2018-07-23 09:29:51.354014
7604752,2018-07-23 09:29:51.354014
7610482,2018-07-23 09:29:51.354014
7616102,2018-07-23 09:29:51.354014
7692892,2018-07-23 09:29:51.354014
7907072,2018-07-23 09:29:51.354014
8084812,2018-07-23 09:29:51.354014
8115982,2018-07-23 09:29:51.354014
8199542,2018-07-23 09:29:51.354014
8343142,2018-07-23 09:29:51.354014
8350472,2018-07-23 09:29:51.354014
8498062,2018-07-23 09:29:51.354014
8663552,2018-07-23 09:29:51.354014
8670842,2018-07-23 09:29:51.354014
8678922,2018-07-23 09:29:51.354014
8723242,2018-07-23 09:29:51.354014
8884342,2018-07-23 09:29:51.354014
9096642,2018-07-23 09:29:51.354014
9165412,2018-07-23 09:29:51.354014
9317922,2018-07-23 09:29:51.354014
9383472,2018-07-23 09:29:51.354014
9830712,2018-07-23 09:29:51.354014
9862372,2018-07-23 09:29:51.354014
9972002,2018-07-23 09:29:51.354014
10002132,2018-07-23 09:29:51.354014
10021202,2018-07-23 09:29:51.354014
10105932,2018-07-23 09:29:51.354014
10304172,2018-07-23 09:29:51.354014
10374692,2018-07-23 09:29:51.354014
10441552,2018-07-23 09:29:51.354014
10471162,2018-07-23 09:29:51.354014
10607522,2018-07-23 09:29:51.354014
10663682,2018-07-23 09:29:51.354014
10724722,2018-07-23 09:29:51.354014
10776422,2018-07-23 09:29:51.354014
10998512,2018-07-23 09:29:51.354014
11052062,2018-07-23 09:29:51.354014
11068702,2018-07-23 09:29:51.354014
11139312,2018-07-23 09:29:51.354014
11260822,2018-07-23 09:29:51.354014
11362602,2018-07-23 09:29:51.354014
11413952,2018-07-23 09:29:51.354014
11557302,2018-07-23 09:29:51.354014
11742432,2018-07-23 09:29:51.354014
11781992,2018-07-23 09:29:51.354014
11826672,2018-07-23 09:29:51.354014
12175672,2018-07-23 09:29:51.354014
12196842,2018-07-23 09:29:51.354014
12471832,2018-07-23 09:29:51.354014
12660292,2018-07-23 09:29:51.354014
12966842,2018-07-23 09:29:51.354014
12991192,2018-07-23 09:29:51.354014
13042012,2018-07-23 09:29:51.354014
13082142,2018-07-23 09:29:51.354014
13131892,2018-07-23 09:29:51.354014
13162152,2018-07-23 09:29:51.354014
13227472,2018-07-23 09:29:51.354014
13418892,2018-07-23 09:29:51.354014
13551722,2018-07-23 09:29:51.354014
13645402,2018-07-23 09:29:51.354014
13854472,2018-07-23 09:29:51.354014
13905132,2018-07-23 09:29:51.354014
14047127,2018-07-23 09:29:51.354014
14052191,2018-07-23 09:29:51.354014
14055474,2018-07-23 09:29:51.354014
14065750,2018-07-23 09:29:51.354014
14079256,2018-07-23 09:29:51.354014
14089964,2018-07-23 09:29:51.354014
14097851,2018-07-23 09:29:51.354014
14098497,2018-07-23 09:29:51.354014
14103596,2018-07-23 09:29:51.354014
14126448,2018-07-23 09:29:51.354014
14163776,2018-07-23 09:29:51.354014
14164037,2018-07-23 09:29:51.354014
14176037,2018-07-23 09:29:51.354014
14178518,2018-07-23 09:29:51.354014
14187969,2018-07-23 09:29:51.354014
14197125,2018-07-23 09:29:51.354014
14207580,2018-07-23 09:29:51.354014
14219741,2018-07-23 09:29:51.354014
14229535,2018-07-23 09:29:51.354014
14247866,2018-07-23 09:29:51.354014
14255057,2018-07-23 09:29:51.354014
14270791,2018-07-23 09:29:51.354014
14272210,2018-07-23 09:29:51.354014
14291855,2018-07-23 09:29:51.354014
14294068,2018-07-23 09:29:51.354014
14340520,2018-07-23 09:29:51.354014
14392350,2018-07-23 09:29:51.354014
14404925,2018-07-23 09:29:51.354014
14428218,2018-07-23 09:29:51.354014
14454876,2018-07-23 09:29:51.354014
14473961,2018-07-23 09:29:51.354014
14478831,2018-07-23 09:29:51.354014
14499219,2018-07-23 09:29:51.354014
14516074,2018-07-23 09:29:51.354014
14528501,2018-07-23 09:29:51.354014
14533147,2018-07-23 09:29:51.354014
14541696,2018-07-23 09:29:51.354014
14579415,2018-07-23 09:29:51.354014
14579454,2018-07-23 09:29:51.354014
14586875,2018-07-23 09:29:51.354014
14596361,2018-07-23 09:29:51.354014
14621509,2018-07-23 09:29:51.354014
14655873,2018-07-23 09:29:51.354014
14659106,2018-07-23 09:29:51.354014
14671135,2018-07-23 09:29:51.354014
14683596,2018-07-23 09:29:51.354014
14688411,2018-07-23 09:29:51.354014
14690680,2018-07-23 09:29:51.354014
14705616,2018-07-23 09:29:51.354014
14706670,2018-07-23 09:29:51.354014
14719001,2018-07-23 09:29:51.354014
14719297,2018-07-23 09:29:51.354014
14722480,2018-07-23 09:29:51.354014
14726938,2018-07-23 09:29:51.354014
14734691,2018-07-23 09:29:51.354014
14744287,2018-07-23 09:29:51.354014
14748123,2018-07-23 09:29:51.354014
14774712,2018-07-23 09:29:51.354014
14775129,2018-07-23 09:29:51.354014
14779848,2018-07-23 09:29:51.354014
14780806,2018-07-23 09:29:51.354014
14788250,2018-07-23 09:29:51.354014
14814377,2018-07-23 09:29:51.354014
