seguidor,idResposta,dataMencao
2892078532,1021369560572878848,2018-7-23 12:20:54
2892078532,1021349583497113600,2018-7-23 11:01:31
2892078532,1021345635252015104,2018-7-23 10:45:49
2892078532,1021326693250797568,2018-7-23 09:30:33
2892078532,1021310288568741888,2018-7-23 08:25:22
2865812463,1021356464097628161,2018-7-23 11:28:51
781036991454511106,1021415255182802944,2018-7-23 15:22:28
2892078532,1021732154928242689,2018-7-24 12:21:43
2892078532,1021716170532110336,2018-7-24 11:18:12
2892078532,1021708366161137669,2018-7-24 10:47:11
2892078532,1021706325565341701,2018-7-24 10:39:05
2892078532,1021686290486644736,2018-7-24 09:19:28
2892078532,1021665748626882560,2018-7-24 07:57:50
2892078532,1021655977681215489,2018-7-24 07:19:01
2892078532,1021642385044979712,2018-7-24 06:25:00
2892078532,1021634115811061760,2018-7-24 05:52:08
2892078532,1021622147381424128,2018-7-24 05:04:35
2892078532,1021609785328893957,2018-7-24 04:15:28
2892078532,1021586938464284672,2018-7-24 02:44:40
2892078532,1021572154398265344,2018-7-24 01:45:56
2892078532,1021552643615940608,2018-7-24 00:28:24
2892078532,1021539843682299904,2018-7-23 23:37:32
2892078532,1021520995235061760,2018-7-23 22:22:38
2892078532,1021510780406128640,2018-7-23 21:42:03
2892078532,1021490336529612800,2018-7-23 20:20:49
2892078532,1021464755448483841,2018-7-23 18:39:10
2892078532,1021429680044498945,2018-7-23 16:19:47
2892078532,1021415079005380609,2018-7-23 15:21:46
2892078532,1021399073360875521,2018-7-23 14:18:10
2865812463,1021717242604670976,2018-7-24 11:22:27
2865812463,1021641116653953024,2018-7-24 06:19:58
2865812463,1021582451167113216,2018-7-24 02:26:51
2865812463,1021559479215824896,2018-7-24 00:55:34
2865812463,1021504459896180743,2018-7-23 21:16:56
2892078532,1022080243564208128,2018-7-25 11:24:54
2892078532,1022060800993845249,2018-7-25 10:07:38
2892078532,1022054878401708033,2018-7-25 09:44:06
2892078532,1022042726718754816,2018-7-25 08:55:49
2892078532,1022025935061692418,2018-7-25 07:49:05
2892078532,1022020287204917250,2018-7-25 07:26:39
2892078532,1022001430692081665,2018-7-25 06:11:43
2892078532,1021990519700893697,2018-7-25 05:28:22
2892078532,1021981401737043969,2018-7-25 04:52:08
2892078532,1021973999402868736,2018-7-25 04:22:43
2892078532,1021966544929284096,2018-7-25 03:53:06
2892078532,1021964094977597440,2018-7-25 03:43:22
2892078532,1021949461847793664,2018-7-25 02:45:13
2892078532,1021932247501418503,2018-7-25 01:36:49
2892078532,1021913914567806977,2018-7-25 00:23:58
2892078532,1021905833507123200,2018-7-24 23:51:51
2892078532,1021892123937914880,2018-7-24 22:57:22
2892078532,1021881156277608448,2018-7-24 22:13:47
2892078532,1021865226214547457,2018-7-24 21:10:29
2892078532,1021860551176200192,2018-7-24 20:51:55
2892078532,1021859140354932736,2018-7-24 20:46:18
2892078532,1021834120618500096,2018-7-24 19:06:53
2892078532,1021825453101862917,2018-7-24 18:32:27
2892078532,1021802062668070913,2018-7-24 16:59:30
2892078532,1021797255479738368,2018-7-24 16:40:24
2892078532,1021781695186522112,2018-7-24 15:38:34
2892078532,1021767958245208065,2018-7-24 14:43:59
2892078532,1021766523206164480,2018-7-24 14:38:17
2892078532,1021742022842085376,2018-7-24 13:00:55
2865812463,1022087705705041920,2018-7-25 11:54:33
2865812463,1022033365107728384,2018-7-25 08:18:37
2865812463,1021989877439705088,2018-7-25 05:25:49
2865812463,1021906765594730496,2018-7-24 23:55:33
2865812463,1021894241532956672,2018-7-24 23:05:47
2865812463,1021877322465665031,2018-7-24 21:58:33
2865812463,1021847671848480770,2018-7-24 20:00:44
2865812463,1021807685413609472,2018-7-24 17:21:51
2865812463,1021754496098230272,2018-7-24 13:50:29
2865812463,1021749122968285184,2018-7-24 13:29:08
2903118038,1022590435104096257,2018-7-26 21:12:13
2892078532,1022591382249197568,2018-7-26 21:15:59
2892078532,1022581454881153025,2018-7-26 20:36:32
2892078532,1022566816466579457,2018-7-26 19:38:22
2892078532,1022555743474606080,2018-7-26 18:54:22
2892078532,1022543494550827008,2018-7-26 18:05:41
2892078532,1022536552851943424,2018-7-26 17:38:06
2892078532,1022503418341060608,2018-7-26 15:26:26
2892078532,1022486144875945985,2018-7-26 14:17:48
2892078532,1022472088685297664,2018-7-26 13:21:57
2892078532,1022464393328689152,2018-7-26 12:51:22
2892078532,1022459746580942851,2018-7-26 12:32:54
2892078532,1022435940508282880,2018-7-26 10:58:18
2892078532,1022432982068588544,2018-7-26 10:46:33
2892078532,1022408050026729472,2018-7-26 09:07:29
2892078532,1022402196040810496,2018-7-26 08:44:13
2892078532,1022400744597741569,2018-7-26 08:38:27
2892078532,1022380835499065344,2018-7-26 07:19:20
2892078532,1022374802374500352,2018-7-26 06:55:22
2892078532,1022359413674438656,2018-7-26 05:54:13
2892078532,1022350398693285890,2018-7-26 05:18:24
2892078532,1022329304254959616,2018-7-26 03:54:34
2892078532,1022310974420930561,2018-7-26 02:41:44
2892078532,1022309498827010048,2018-7-26 02:35:52
2892078532,1022296380096892929,2018-7-26 01:43:45
2892078532,1022283574001717250,2018-7-26 00:52:51
2892078532,1022269843574276104,2018-7-25 23:58:18
2892078532,1022266624047493125,2018-7-25 23:45:30
2892078532,1022249069950001157,2018-7-25 22:35:45
2892078532,1022225928859123723,2018-7-25 21:03:48
2892078532,1022210519355281408,2018-7-25 20:02:34
2892078532,1022197232890728450,2018-7-25 19:09:46
2892078532,1022166574118174720,2018-7-25 17:07:56
2892078532,1022155182447190016,2018-7-25 16:22:40
2892078532,1022138360071184385,2018-7-25 15:15:50
2892078532,1022122054789865472,2018-7-25 14:11:02
2892078532,1022110118899527680,2018-7-25 13:23:36
2892078532,1022100287337717760,2018-7-25 12:44:32
2865812463,1022589040573509635,2018-7-26 21:06:40
2865812463,1022574739401916416,2018-7-26 20:09:51
2865812463,1022564682123624448,2018-7-26 19:29:53
2865812463,1022502442473283585,2018-7-26 15:22:34
2865812463,1022472381019897857,2018-7-26 13:23:06
2865812463,1022436320776466433,2018-7-26 10:59:49
2865812463,1022390791912779777,2018-7-26 07:58:54
2865812463,1022350511079677952,2018-7-26 05:18:50
2865812463,1022241763401125888,2018-7-25 22:06:43
2892078532,1022970699571376128,2018-7-27 22:23:15
2892078532,1022963010338545668,2018-7-27 21:52:42
2892078532,1022935383494078467,2018-7-27 20:02:55
2892078532,1022921387533639680,2018-7-27 19:07:18
2892078532,1022915164314787841,2018-7-27 18:42:34
2892078532,1022897233539330048,2018-7-27 17:31:19
2892078532,1022878050097225728,2018-7-27 16:15:05
2892078532,1022860707371642881,2018-7-27 15:06:11
2892078532,1022849623193530368,2018-7-27 14:22:08
