seguidor,idResposta,dataResposta
2865812463,1021362452632567808,2018-7-23 11:52:39
2865812463,1021360652487659520,2018-7-23 11:45:30
2865812463,1021357220779393024,2018-7-23 11:31:51
2865812463,1021718549033885698,2018-7-24 11:27:39
2865812463,1021717751444983808,2018-7-24 11:24:29
2865812463,1021644375531708416,2018-7-24 06:32:55
2865812463,1021642350408417282,2018-7-24 06:24:52
2865812463,1021641622948388866,2018-7-24 06:21:58
2865812463,1021584510700474368,2018-7-24 02:35:02
2865812463,1021583723106590720,2018-7-24 02:31:54
2865812463,1021583228333895680,2018-7-24 02:29:56
2865812463,1021582961198723075,2018-7-24 02:28:52
2865812463,1021559730815283200,2018-7-24 00:56:34
2865812463,1021505724311109633,2018-7-23 21:21:57
2865812463,1022092301512912896,2018-7-25 12:12:48
2865812463,1022091808665493504,2018-7-25 12:10:51
2865812463,1022090031647711232,2018-7-25 12:03:47
2865812463,1022088722437865472,2018-7-25 11:58:35
2865812463,1022034847353774081,2018-7-25 08:24:30
2865812463,1021990635975454720,2018-7-25 05:28:49
2865812463,1021908789916778496,2018-7-25 00:03:36
2865812463,1021908037538394112,2018-7-25 00:00:36
2865812463,1021895722004869120,2018-7-24 23:11:40
2865812463,1021895223260205056,2018-7-24 23:09:41
2865812463,1021877827518558208,2018-7-24 22:00:34
2865812463,1021848390190202880,2018-7-24 20:03:35
2865812463,1021808189686382597,2018-7-24 17:23:51
2865812463,1021754745382490112,2018-7-24 13:51:29
2865812463,1021750644267462656,2018-7-24 13:35:11
2865812463,1022590305059713024,2018-7-26 21:11:42
2865812463,1022578541425254402,2018-7-26 20:24:57
2865812463,1022578039421657088,2018-7-26 20:22:57
2865812463,1022577532368035840,2018-7-26 20:20:56
2865812463,1022577024844681216,2018-7-26 20:18:55
2865812463,1022569146226290688,2018-7-26 19:47:37
2865812463,1022568615479050240,2018-7-26 19:45:30
2865812463,1022564929348542464,2018-7-26 19:30:52
2865812463,1022507951049912320,2018-7-26 15:44:27
2865812463,1022503705940246533,2018-7-26 15:27:35
2865812463,1022472880565768193,2018-7-26 13:25:06
2865812463,1022438919026208768,2018-7-26 11:10:08
2865812463,1022437555411857408,2018-7-26 11:04:43
2865812463,1022437051915018240,2018-7-26 11:02:43
2865812463,1022393580957171712,2018-7-26 08:09:59
2865812463,1022392828343840769,2018-7-26 08:07:00
2865812463,1022392315237859333,2018-7-26 08:04:57
