seguidor,idResposta,dataMencao
983390543785979905,1021137255564546048,2018-7-22 20:57:48
936751249310937088,1021114724505698304,2018-7-22 19:28:16
912185152926879744,1021316513993719810,2018-7-23 08:50:06
847596308957458432,1021191459217854464,2018-7-23 00:33:11
876593233819836422,1021266990596542465,2018-7-23 05:33:19
2974866279,1021343144028397568,2018-7-23 10:35:55
735060305131245568,1021077043851689985,2018-7-22 16:58:32
933499773436309504,1021181221810966529,2018-7-22 23:52:30
3366331096,1021119633443688453,2018-7-22 19:47:46
1001441074995380224,1021412228073836544,2018-7-23 15:10:26
20628244,1021078649045278720,2018-7-22 17:04:55
20628244,1021077264472031233,2018-7-22 16:59:25
20628244,1021076557509431296,2018-7-22 16:56:36
4204395133,1021242489582309377,2018-7-23 03:55:57
1007126239595950081,1021065722095599617,2018-7-22 16:13:33
1007126239595950081,1021065469019770880,2018-7-22 16:12:32
904106352951255040,1021229734758268928,2018-7-23 03:05:16
837807880606728192,1021179722938675200,2018-7-22 23:46:33
981676248249393152,1021050383681060864,2018-7-22 15:12:36
4871995324,1021066240205492224,2018-7-22 16:15:36
2811426484,1021119319244230656,2018-7-22 19:46:31
770140423532716032,1021237039566471168,2018-7-23 03:34:18
725149825801555969,1021389463812009985,2018-7-23 13:39:59
725149825801555969,1021388991885717504,2018-7-23 13:38:06
897537514487074821,1021055770761318400,2018-7-22 15:34:00
897537514487074821,1021054469226852358,2018-7-22 15:28:50
957612379545722881,1021088618830581761,2018-7-22 17:44:32
735624565192200193,1021124691539267584,2018-7-22 20:07:52
950794477001674752,1021068365912264704,2018-7-22 16:24:03
4745013502,1021102500282273792,2018-7-22 18:39:41
927683001110188032,1021086290526310401,2018-7-22 17:35:17
907704035947552768,1021153549730893824,2018-7-22 22:02:33
928071667611561984,1021104802472824833,2018-7-22 18:48:50
2923793159,1021423769187909633,2018-7-23 15:56:18
906110181477539843,1021780229402943488,2018-7-24 15:32:45
877307587334721538,1021641429246988288,2018-7-24 06:21:12
998746610728349696,1021575552413650944,2018-7-24 01:59:26
1019630838500286467,1021496309524643840,2018-7-23 20:44:33
737273932999499776,1021621020338401285,2018-7-24 05:00:06
734447192304418817,1021578984499421184,2018-7-24 02:13:04
890185932363747328,1021639387891871749,2018-7-24 06:13:05
949921127568113669,1021623488103292928,2018-7-24 05:09:55
2990549315,1021662921615663105,2018-7-24 07:46:36
864207831804895232,1021545249532010499,2018-7-23 23:59:01
1015816726007578624,1022263327051808769,2018-7-25 23:32:24
1013466164645617664,1021948877392334848,2018-7-25 02:42:53
942415415380267008,1021834874473402369,2018-7-24 19:09:53
937128831000903680,1021848590392745984,2018-7-24 20:04:23
1008493635061649408,1021879725139152898,2018-7-24 22:08:06
3328296970,1022168992151228416,2018-7-25 17:17:33
907578356794888192,1022146513215074306,2018-7-25 15:48:13
981720414765404160,1021944065787670529,2018-7-25 02:23:46
892312070355509248,1021830467073454085,2018-7-24 18:52:22
924204862916780032,1021838067311828993,2018-7-24 19:22:34
706433934029168640,1022152465326718976,2018-7-25 16:11:53
922924345856585728,1022682150473224192,2018-7-27 03:16:39
962649878068449280,1022492897034346496,2018-7-26 14:44:38
933499773436309504,1022526662687244291,2018-7-26 16:58:48
806991147495198720,1022572869283405824,2018-7-26 20:02:25
806991147495198720,1022572773573582852,2018-7-26 20:02:02
806991147495198720,1022572465640431616,2018-7-26 20:00:48
743983302147710980,1022657906020417536,2018-7-27 01:40:19
2802022049,1022596849545424897,2018-7-26 21:37:42
919524146375282688,1022841995251859456,2018-7-27 13:51:49
931261310335143939,1022848969112805377,2018-7-27 14:19:32
1019630838500286467,1022909359746174977,2018-7-27 18:19:30
1019630838500286467,1022909329706557440,2018-7-27 18:19:23
4181504073,1022766119717953536,2018-7-27 08:50:19
970485581888311296,1022734179761577986,2018-7-27 06:43:24
739323125347680256,1022750844352176128,2018-7-27 07:49:37
841728043228024833,1023173685262331904,2018-7-28 11:49:50
815169044462456832,1023722056376930304,2018-7-30 00:08:52
931261310335143939,1023699214163959809,2018-7-29 22:38:06
931261310335143939,1023545578473570305,2018-7-29 12:27:37
961050986,1023709098133671936,2018-7-29 23:17:23
920355785057734662,1023595791406059520,2018-7-29 15:47:08
916838671235592192,1024018798679126016,2018-7-30 19:48:01
2908631854,1023793681168510976,2018-7-30 04:53:29
952628653527052288,1024018862902308864,2018-7-30 19:48:16
981693826103312386,1024079790146371585,2018-7-30 23:50:23
4187525954,1023973040445480960,2018-7-30 16:46:11
1024593999020138496,1024972243191975936,2018-8-02 10:56:40
1003670618624045056,1025021207127588864,2018-8-02 14:11:14
1004463505288912897,1024971793428361217,2018-8-02 10:54:53
1015868466937466886,1024841283766968320,2018-8-02 02:16:17
931261310335143939,1024435248724168705,2018-7-31 23:22:51
810369360715878401,1024561936275464192,2018-8-01 07:46:15
962649878068449280,1024276735775391745,2018-7-31 12:52:58
968256158107566080,1024383474046840833,2018-7-31 19:57:06
934277621604425728,1025051069422829568,2018-8-02 16:09:54
823846947052195840,1024960107501764609,2018-8-02 10:08:27
867932173248020480,1024174175529754625,2018-7-31 06:05:26
156854641,1024562990400454657,2018-8-01 07:50:27
771084492232589312,1024865433617395712,2018-8-02 03:52:15
925136122962956288,1024970394929913856,2018-8-02 10:49:19
995378375131914240,1025171921779019776,2018-8-03 00:10:07
803438189834694656,1025163982842130432,2018-8-02 23:38:34
795180177097637892,1025132867708444672,2018-8-02 21:34:56
3178259251,1025085321535475712,2018-8-02 18:26:00
1009081292393209856,1025347792099782656,2018-8-03 11:48:58
842392399649361920,1025159929395638272,2018-8-02 23:22:28
938936256666525696,1025106182988591107,2018-8-02 19:48:54
995322512228614144,1025748639774334976,2018-8-04 14:21:47
922630299502116864,1025761282736246784,2018-8-04 15:12:02
979891661684727813,1025472579308380160,2018-8-03 20:04:49
871082484775170048,1025534466930999296,2018-8-04 00:10:45
945886120147017728,1026096736672960512,2018-8-05 13:25:00
825359792520572928,1026072453615767553,2018-8-05 11:48:31
701793248944197632,1025890899920908288,2018-8-04 23:47:05
3387701360,1026096422817476608,2018-8-05 13:23:45
957733171960856576,1026480519528112128,2018-8-06 14:50:01
946276377900265472,1026257710151553025,2018-8-06 00:04:39
879048861578219520,1026839416688373762,2018-8-07 14:36:09
879048861578219520,1026689655343788034,2018-8-07 04:41:03
810549105889918977,1026616324984725505,2018-8-06 23:49:40
1012759056312827904,1026714437279985665,2018-8-07 06:19:31
922630299502116864,1026619458838822913,2018-8-07 00:02:07
998633421076336640,1026692107329724416,2018-8-07 04:50:48
953667221984894976,1026783457819676673,2018-8-07 10:53:47
990239207246434305,1026858199142543360,2018-8-07 15:50:47
750260469168877568,1027221794825097218,2018-8-08 15:55:35
830098442307375104,1027209103989526528,2018-8-08 15:05:09
266297284,1027220534415818754,2018-8-08 15:50:34
998497595780575232,1027174751070912512,2018-8-08 12:48:39
934277621604425728,1026996179131920384,2018-8-08 00:59:04
806933209141256192,1027070657878736897,2018-8-08 05:55:01
990175168050888704,1027070904562601984,2018-8-08 05:56:00
952393051917479938,1026978344934539265,2018-8-07 23:48:12
705202259794112512,1026918298875842560,2018-8-07 19:49:36
716209437996879872,1027359979219677186,2018-8-09 01:04:41
998497595780575232,1027940279364419584,2018-8-10 15:30:35
928754855908446208,1027938706626412544,2018-8-10 15:24:20
971572551951331328,1028168752947449856,2018-8-11 06:38:27
971572551951331328,1028168612949962752,2018-8-11 06:37:54
971572551951331328,1028168148732788736,2018-8-11 06:36:03
987349992560934912,1028188128425779200,2018-8-11 07:55:27
907370897547431945,1028208557920079872,2018-8-11 09:16:38
741847574957563904,1028130091887280128,2018-8-11 04:04:50
960133279369351168,1028045069625053185,2018-8-10 22:26:59
960133279369351168,1028044314117582848,2018-8-10 22:23:59
960133279369351168,1028043857932509184,2018-8-10 22:22:10
941503851303141376,1028186723862237184,2018-8-11 07:49:52
906643111648153602,1028221417966456832,2018-8-11 10:07:44
1506173906,1028196448096190464,2018-8-11 08:28:30
763200051648815104,1028067249154940930,2018-8-10 23:55:07
979836582835474433,1028137611662114822,2018-8-11 04:34:43
912439828071010305,1028275482209464320,2018-8-11 13:42:34
801925450671030273,1028552124299468801,2018-8-12 08:01:50
890840134299594752,1028427826540814336,2018-8-11 23:47:55
968817804869865475,1028353839303454720,2018-8-11 18:53:55
815169044462456832,1028571272358187009,2018-8-12 09:17:55
934277621604425728,1028327909549858816,2018-8-11 17:10:53
1384587248,1028383428318818304,2018-8-11 20:51:30
930158845611134978,1028692960890765313,2018-8-12 17:21:28
958316709936447488,1029033132366823425,2018-8-13 15:53:11
967587199771430912,1028850632701169666,2018-8-13 03:48:00
729099731750793216,1028760919051042817,2018-8-12 21:51:31
926089709167706113,1028969067724656641,2018-8-13 11:38:37
926089709167706113,1028968971096272896,2018-8-13 11:38:14
907578356794888192,1028680962035671042,2018-8-12 16:33:47
958316709936447488,1029396683048640512,2018-8-14 15:57:49
958316709936447488,1029282759313739776,2018-8-14 08:25:07
987349992560934912,1029093591103287296,2018-8-13 19:53:26
1022264126423281664,1029206241044705281,2018-8-14 03:21:04
737262881494958080,1029170787591376897,2018-8-14 01:00:11
942974837625987072,1029275471140143104,2018-8-14 07:56:09
993167885055938561,1029361965033029632,2018-8-14 13:39:51
998497595780575232,1029144482879397890,2018-8-13 23:15:39
1000851045755555840,1029248548129447936,2018-8-14 06:09:11
3513170715,1029346316386754560,2018-8-14 12:37:40
859192300177674240,1029220774001946624,2018-8-14 04:18:49
878768435056054272,1029092087583727616,2018-8-13 19:47:27
3241707540,1029226438359044097,2018-8-14 04:41:19
994375268109201408,1029537131310370822,2018-8-15 01:15:54
858194492,1029706520139841536,2018-8-15 12:29:00
858194492,1029467975437484032,2018-8-14 20:41:06
946458888186007552,1029516756916809738,2018-8-14 23:54:57
4486694901,1029624035833995264,2018-8-15 07:01:14
876461797074710528,1029763762570584064,2018-8-15 16:16:27
910284337886715904,1030080363199176706,2018-8-16 13:14:31
926234058434195456,1030118470497841152,2018-8-16 15:45:56
745040863269552128,1029880383159062533,2018-8-15 23:59:52
958316709936447488,1030119067212894208,2018-8-16 15:48:18
958316709936447488,1029966218332008448,2018-8-16 05:40:56
981347626665705472,1029850884992368640,2018-8-15 22:02:39
981347626665705472,1029850843305177089,2018-8-15 22:02:29
1018695466899288064,1030050936545107968,2018-8-16 11:17:35
789964250752094208,1029937882658746368,2018-8-16 03:48:21
732305558192177153,1029884942141075457,2018-8-16 00:17:59
964737751353446400,1030201499610013696,2018-8-16 21:15:52
958316709936447488,1030314531128397824,2018-8-17 04:45:01
762043112009175040,1030162443090231296,2018-8-16 18:40:40
816728829490302976,1030249477939126272,2018-8-17 00:26:31
4016709813,1030423388395905024,2018-8-17 11:57:34
946842713382584320,1030835090954366979,2018-8-18 15:13:32
1021411636089966592,1030843677764214784,2018-8-18 15:47:39
867545922078748672,1030582589009145856,2018-8-17 22:30:11
867545922078748672,1030582548085329920,2018-8-17 22:30:01
4775276603,1030745210039545857,2018-8-18 09:16:23
3922186220,1030602404436299777,2018-8-17 23:48:55
995235546740994048,1030723076076519429,2018-8-18 07:48:25
874536067969503233,1030550403358896128,2018-8-17 20:22:17
898318779230408708,1030494897101565952,2018-8-17 16:41:43
979668939700559872,1031283320498184193,2018-8-19 20:54:38
966476459748610048,1031087469427654656,2018-8-19 07:56:24
928432674649329664,1030896654961000450,2018-8-18 19:18:10
928432674649329664,1030896562656960512,2018-8-18 19:17:48
940442998617157637,1031059044495028224,2018-8-19 06:03:27
937895133051281409,1031036272368869383,2018-8-19 04:32:57
871082484775170048,1030987971300929536,2018-8-19 01:21:01
847596308957458432,1031030802006663169,2018-8-19 04:11:13
893442427150680069,1031038571279339520,2018-8-19 04:42:05
2798556392,1031219817775353856,2018-8-19 16:42:18
3241707540,1031032021030584321,2018-8-19 04:16:04
996371338263703552,1031569456617725952,2018-8-20 15:51:38
981347626665705472,1031417865440620544,2018-8-20 05:49:16
855141331395649537,1031891865820430336,2018-8-21 13:12:47
866724792375943169,1031842399427993600,2018-8-21 09:56:13
921826688081768449,1031877436449980419,2018-8-21 12:15:26
3136080401,1032307059113517056,2018-8-22 16:42:36
740592182822854656,1032249538445275136,2018-8-22 12:54:02
1007541400408186880,1032054144247291905,2018-8-21 23:57:37
1023256623513591808,1032211642329772032,2018-8-22 10:23:27
983365510396985344,1032118876039856129,2018-8-22 04:14:50
815169044462456832,1032234190111031296,2018-8-22 11:53:03
814596097427521541,1032361386322669575,2018-8-22 20:18:29
889711077172297728,1032421413448167426,2018-8-23 00:17:01
740263267902312448,1032534570107916288,2018-8-23 07:46:39
981347626665705472,1032432908135354368,2018-8-23 01:02:41
988872855193612289,1032423639159853056,2018-8-23 00:25:51
3245064047,1033059507281321985,2018-8-24 18:32:34
974454832005337089,1032824838384230401,2018-8-24 03:00:05
974454832005337089,1032824711586168832,2018-8-24 02:59:34
307594267,1033037540587130881,2018-8-24 17:05:17
817996173470474240,1032793814300278784,2018-8-24 00:56:48
956199388275265537,1032899726671335424,2018-8-24 07:57:39
307594267,1033202064334225408,2018-8-25 03:59:02
1006225938546348032,1033461279745355776,2018-8-25 21:09:04
971566925154107392,1033865666279993344,2018-8-26 23:55:57
817656500852170753,1033584053289672704,2018-8-26 05:16:56
853870892644020224,1034166924345790467,2018-8-27 19:53:03
1003748195694927874,1034890405039357952,2018-8-29 19:47:54
307594267,1034951184656855041,2018-8-29 23:49:25
1004562327780446208,1034869281002020864,2018-8-29 18:23:58
934277621604425728,1034914505518731266,2018-8-29 21:23:40
2396526403,1035435459546107904,2018-8-31 07:53:45
996867084561911808,1035739368831545344,2018-9-01 04:01:23
3572052556,1035556485688897536,2018-8-31 15:54:40
2499808316,1035702597095706625,2018-9-01 01:35:16
2499808316,1035702544838930432,2018-9-01 01:35:03
710584171958308864,1035520969899732997,2018-8-31 13:33:32
1014119818507771905,1036230955093188608,2018-9-02 12:34:46
1014119818507771905,1036225257814851589,2018-9-02 12:12:08
1014119818507771905,1036225010342477825,2018-9-02 12:11:09
768101326182023168,1036211386534248449,2018-9-02 11:17:01
1021411636089966592,1035997638724923393,2018-9-01 21:07:39
1025795329923469315,1036255664232980485,2018-9-02 14:12:57
941503851303141376,1036220617400307712,2018-9-02 11:53:41
962678001078079489,1036238329551970304,2018-9-02 13:04:04
4841084449,1035981264657018880,2018-9-01 20:02:35
2194649564,1035954440149381120,2018-9-01 18:16:00
2499808316,1035981333376512005,2018-9-01 20:02:52
812708609138294785,1036002131143258112,2018-9-01 21:25:30
958437980435308546,1036591016554520576,2018-9-03 12:25:31
805160458542051328,1036333452608585728,2018-9-02 19:22:03
1014547888242913280,1036563791130095616,2018-9-03 10:37:20
962445314727796741,1036293068885041152,2018-9-02 16:41:35
2499808316,1036397087292903424,2018-9-02 23:34:55
785299346858315776,1036669991310057472,2018-9-03 17:39:20
937249282167660545,1037331880788590592,2018-9-05 13:29:27
917060218886021121,1037073760774483968,2018-9-04 20:23:47
774661654449500160,1037186362737188864,2018-9-05 03:51:13
1001181168052703233,1037531239463436288,2018-9-06 02:41:38
1035478456090480641,1037661780191981568,2018-9-06 11:20:21
969025431323185153,1037492993907941377,2018-9-06 00:09:40
1011684902314676224,1037489633444212736,2018-9-05 23:56:18
1015353954048364544,1037484725877841921,2018-9-05 23:36:48
850825209678626816,1037519956366127104,2018-9-06 01:56:48
914136956891746311,1037551281580191745,2018-9-06 04:01:16
736473697456787456,1037547039733628928,2018-9-06 03:44:25
891372261436936193,1037868215131561985,2018-9-07 01:00:39
981302016508157953,1038068814871764992,2018-9-07 14:17:46
1025745300663746561,1037794155769020416,2018-9-06 20:06:22
969025431323185153,1037793097223155712,2018-9-06 20:02:10
980640648100421632,1037865352569413632,2018-9-07 00:49:17
924007416886452224,1038107343274369024,2018-9-07 16:50:52
924007416886452224,1038092872644521987,2018-9-07 15:53:22
1012200813396152325,1038136383901184000,2018-9-07 18:46:16
939952519945641989,1038115653595615232,2018-9-07 17:23:53
2893133671,1038095447670353920,2018-9-07 16:03:36
