seguidor,idResposta,dataResposta
863528570483728384,1021540858670153729,2018-7-23 23:41:34
875735218967109633,1022195721804558336,2018-7-25 19:03:46
20396179,1022075300778323968,2018-7-25 11:05:15
16877127,1022860803937103872,2018-7-27 15:06:34
1434282979,1023291736456617986,2018-7-28 19:38:56
888157090279063552,1024673297168883712,2018-8-01 15:08:46
10295382,1026379931234721793,2018-8-06 08:10:19
2479777868,1026691292112343040,2018-8-07 04:47:33
1434282979,1027753089258979334,2018-8-10 03:06:45
677713,1028118757842010113,2018-8-11 03:19:48
345092158,1029147552141201409,2018-8-13 23:27:51
2291137092,1031498827566604288,2018-8-20 11:10:59
2804791951,1032041378300059648,2018-8-21 23:06:53
32995025,1032402954509332481,2018-8-22 23:03:40
742724758173810688,1038262483285430272,2018-9-08 03:07:20
