idUsuario,dataDesvinculacao
5898292,2018-07-24 12:46:49.895052
15211979,2018-07-24 12:46:49.895052
15401639,2018-07-24 12:46:49.895052
15594353,2018-07-24 12:46:49.895052
20031807,2018-07-24 12:46:49.895052
21723673,2018-07-24 12:46:49.895052
21844443,2018-07-24 12:46:49.895052
25364080,2018-07-24 12:46:49.895052
32830811,2018-07-24 12:46:49.895052
33433900,2018-07-24 12:46:49.895052
33885048,2018-07-24 12:46:49.895052
40965357,2018-07-24 12:46:49.895052
47505761,2018-07-24 12:46:49.895052
47539287,2018-07-24 12:46:49.895052
59863489,2018-07-24 12:46:49.895052
60527059,2018-07-24 12:46:49.895052
65276911,2018-07-24 12:46:49.895052
67057237,2018-07-24 12:46:49.895052
128002362,2018-07-24 12:46:49.895052
164480362,2018-07-24 12:46:49.895052
257081238,2018-07-24 12:46:49.895052
351158402,2018-07-24 12:46:49.895052
403977163,2018-07-24 12:46:49.895052
611485864,2018-07-24 12:46:49.895052
614771115,2018-07-24 12:46:49.895052
848372816,2018-07-24 12:46:49.895052
879420572,2018-07-24 12:46:49.895052
1020236137,2018-07-24 12:46:49.895052
1354694118,2018-07-24 12:46:49.895052
1370831004,2018-07-24 12:46:49.895052
2177509232,2018-07-24 12:46:49.895052
2210147978,2018-07-24 12:46:49.895052
2262134150,2018-07-24 12:46:49.895052
2352268891,2018-07-24 12:46:49.895052
2433646819,2018-07-24 12:46:49.895052
2474419770,2018-07-24 12:46:49.895052
2847528949,2018-07-24 12:46:49.895052
3118999741,2018-07-24 12:46:49.895052
3325752668,2018-07-24 12:46:49.895052
4017808994,2018-07-24 12:46:49.895052
4604865793,2018-07-24 12:46:49.895052
4831500282,2018-07-24 12:46:49.895052
708227575487705088,2018-07-24 12:46:49.895052
747230204192403456,2018-07-24 12:46:49.895052
747837785030037505,2018-07-24 12:46:49.895052
748646510842155008,2018-07-24 12:46:49.895052
751900863061303296,2018-07-24 12:46:49.895052
770286169858781184,2018-07-24 12:46:49.895052
773952972673998848,2018-07-24 12:46:49.895052
774062306565259264,2018-07-24 12:46:49.895052
774123770319478784,2018-07-24 12:46:49.895052
781623449928081409,2018-07-24 12:46:49.895052
781707335429271552,2018-07-24 12:46:49.895052
791816222744584192,2018-07-24 12:46:49.895052
798032474542440448,2018-07-24 12:46:49.895052
808109527442681856,2018-07-24 12:46:49.895052
811309769814409216,2018-07-24 12:46:49.895052
821650194194460672,2018-07-24 12:46:49.895052
826623103958609921,2018-07-24 12:46:49.895052
832994355237441536,2018-07-24 12:46:49.895052
844117996310155265,2018-07-24 12:46:49.895052
852062009764052992,2018-07-24 12:46:49.895052
853553881434906624,2018-07-24 12:46:49.895052
855779960119635969,2018-07-24 12:46:49.895052
856072052951752704,2018-07-24 12:46:49.895052
856073677498011649,2018-07-24 12:46:49.895052
856177344901300228,2018-07-24 12:46:49.895052
856178819710959617,2018-07-24 12:46:49.895052
856958812300787712,2018-07-24 12:46:49.895052
856960148933193728,2018-07-24 12:46:49.895052
857178467644960771,2018-07-24 12:46:49.895052
858757838922854400,2018-07-24 12:46:49.895052
858759240189485056,2018-07-24 12:46:49.895052
858983268636540928,2018-07-24 12:46:49.895052
858984487102824449,2018-07-24 12:46:49.895052
859136576386809857,2018-07-24 12:46:49.895052
859351090461949952,2018-07-24 12:46:49.895052
859450505910603776,2018-07-24 12:46:49.895052
859768648512053248,2018-07-24 12:46:49.895052
860138469049253888,2018-07-24 12:46:49.895052
860499986185732097,2018-07-24 12:46:49.895052
860780624931569664,2018-07-24 12:46:49.895052
860931022929580032,2018-07-24 12:46:49.895052
861153856213762048,2018-07-24 12:46:49.895052
861155416897495040,2018-07-24 12:46:49.895052
861279899260133377,2018-07-24 12:46:49.895052
861281726177214465,2018-07-24 12:46:49.895052
861528399939895296,2018-07-24 12:46:49.895052
863789900725977089,2018-07-24 12:46:49.895052
868446939745894400,2018-07-24 12:46:49.895052
872662425069277184,2018-07-24 12:46:49.895052
872989229571203072,2018-07-24 12:46:49.895052
873415043836018689,2018-07-24 12:46:49.895052
874721536569098240,2018-07-24 12:46:49.895052
875614570441617409,2018-07-24 12:46:49.895052
877102228703633408,2018-07-24 12:46:49.895052
877306335418662914,2018-07-24 12:46:49.895052
878704279468384256,2018-07-24 12:46:49.895052
879816045665452032,2018-07-24 12:46:49.895052
880106392765571073,2018-07-24 12:46:49.895052
880338526763491328,2018-07-24 12:46:49.895052
887209129277661184,2018-07-24 12:46:49.895052
892672426932174849,2018-07-24 12:46:49.895052
893736635254284289,2018-07-24 12:46:49.895052
900483733848940544,2018-07-24 12:46:49.895052
900619244962029569,2018-07-24 12:46:49.895052
900957385337880576,2018-07-24 12:46:49.895052
901172420395933696,2018-07-24 12:46:49.895052
902980072105172992,2018-07-24 12:46:49.895052
904703214099898369,2018-07-24 12:46:49.895052
921132956634288128,2018-07-24 12:46:49.895052
921880880586428416,2018-07-24 12:46:49.895052
923223270467366912,2018-07-24 12:46:49.895052
924318177416187904,2018-07-24 12:46:49.895052
927598614326710273,2018-07-24 12:46:49.895052
928851929899212800,2018-07-24 12:46:49.895052
938630788605624320,2018-07-24 12:46:49.895052
952260976354537472,2018-07-24 12:46:49.895052
953142636788973568,2018-07-24 12:46:49.895052
955325153415606272,2018-07-24 12:46:49.895052
962824134353813504,2018-07-24 12:46:49.895052
962827082181955585,2018-07-24 12:46:49.895052
964210684568326144,2018-07-24 12:46:49.895052
965009990476943360,2018-07-24 12:46:49.895052
965140851113345026,2018-07-24 12:46:49.895052
965145994894573568,2018-07-24 12:46:49.895052
965342930947883008,2018-07-24 12:46:49.895052
965479753300852736,2018-07-24 12:46:49.895052
966815671072931840,2018-07-24 12:46:49.895052
967723958257799168,2018-07-24 12:46:49.895052
985692996942229504,2018-07-24 12:46:49.895052
992290075898658816,2018-07-24 12:46:49.895052
995467499343925249,2018-07-24 12:46:49.895052
1017305393507155968,2018-07-24 12:46:49.895052
1020484251597197312,2018-07-24 12:46:49.895052
1021333491722567682,2018-07-24 12:46:49.895052
15802118,2018-07-25 23:03:18.661804
20077267,2018-07-25 23:03:18.661804
21054228,2018-07-25 23:03:18.661804
26411138,2018-07-25 23:03:18.661804
29083980,2018-07-25 23:03:18.661804
33550692,2018-07-25 23:03:18.661804
37284537,2018-07-25 23:03:18.661804
61981700,2018-07-25 23:03:18.661804
75237554,2018-07-25 23:03:18.661804
187724306,2018-07-25 23:03:18.661804
233202282,2018-07-25 23:03:18.661804
238286478,2018-07-25 23:03:18.661804
258434322,2018-07-25 23:03:18.661804
277623919,2018-07-25 23:03:18.661804
411041707,2018-07-25 23:03:18.661804
423307906,2018-07-25 23:03:18.661804
433790061,2018-07-25 23:03:18.661804
618044717,2018-07-25 23:03:18.661804
720920677,2018-07-25 23:03:18.661804
1054387915,2018-07-25 23:03:18.661804
1253503783,2018-07-25 23:03:18.661804
1337495882,2018-07-25 23:03:18.661804
1395336332,2018-07-25 23:03:18.661804
1680066955,2018-07-25 23:03:18.661804
1861107037,2018-07-25 23:03:18.661804
1862121714,2018-07-25 23:03:18.661804
2216456917,2018-07-25 23:03:18.661804
2259996946,2018-07-25 23:03:18.661804
2300465610,2018-07-25 23:03:18.661804
2525188287,2018-07-25 23:03:18.661804
2703869771,2018-07-25 23:03:18.661804
2787113398,2018-07-25 23:03:18.661804
2808915585,2018-07-25 23:03:18.661804
2925764171,2018-07-25 23:03:18.661804
3183811394,2018-07-25 23:03:18.661804
3260561695,2018-07-25 23:03:18.661804
3327488554,2018-07-25 23:03:18.661804
3352177693,2018-07-25 23:03:18.661804
3624960088,2018-07-25 23:03:18.661804
742380006731481088,2018-07-25 23:03:18.661804
747808564631248896,2018-07-25 23:03:18.661804
755206902775181312,2018-07-25 23:03:18.661804
759344424824348673,2018-07-25 23:03:18.661804
768343094534299648,2018-07-25 23:03:18.661804
771048255710961664,2018-07-25 23:03:18.661804
771340808020758528,2018-07-25 23:03:18.661804
794426292217249796,2018-07-25 23:03:18.661804
795762374510788608,2018-07-25 23:03:18.661804
808269215635533824,2018-07-25 23:03:18.661804
809104032484757504,2018-07-25 23:03:18.661804
809403478070231040,2018-07-25 23:03:18.661804
816156439269888000,2018-07-25 23:03:18.661804
829083088961540097,2018-07-25 23:03:18.661804
839920797443489793,2018-07-25 23:03:18.661804
840132684852617216,2018-07-25 23:03:18.661804
841696052155633668,2018-07-25 23:03:18.661804
869763667574837249,2018-07-25 23:03:18.661804
869784935757824000,2018-07-25 23:03:18.661804
873432574579793920,2018-07-25 23:03:18.661804
877608616655761408,2018-07-25 23:03:18.661804
878077769527197700,2018-07-25 23:03:18.661804
881355793379069952,2018-07-25 23:03:18.661804
896130585508200450,2018-07-25 23:03:18.661804
905463908537733120,2018-07-25 23:03:18.661804
911621980016730112,2018-07-25 23:03:18.661804
915708482313162752,2018-07-25 23:03:18.661804
920347447284596736,2018-07-25 23:03:18.661804
932875395409604609,2018-07-25 23:03:18.661804
937836554952888320,2018-07-25 23:03:18.661804
979983409182269442,2018-07-25 23:03:18.661804
983713657690435584,2018-07-25 23:03:18.661804
988396840507793409,2018-07-25 23:03:18.661804
1009265649368125440,2018-07-25 23:03:18.661804
1014447160614481920,2018-07-25 23:03:18.661804
1021193357970640896,2018-07-25 23:03:18.661804
6110012,2018-07-26 23:18:25.192738
16011727,2018-07-26 23:18:25.192738
18168286,2018-07-26 23:18:25.192738
19379984,2018-07-26 23:18:25.192738
21156388,2018-07-26 23:18:25.192738
21819318,2018-07-26 23:18:25.192738
26605243,2018-07-26 23:18:25.192738
31322890,2018-07-26 23:18:25.192738
31386538,2018-07-26 23:18:25.192738
34108715,2018-07-26 23:18:25.192738
46311613,2018-07-26 23:18:25.192738
384592971,2018-07-26 23:18:25.192738
411001688,2018-07-26 23:18:25.192738
631462714,2018-07-26 23:18:25.192738
